Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
46,3/19/17,Kansas,N,Michigan State,W 90-70,200,34,64,0.531,26,44,0.591,8,20,0.4,14,15,0.933,90
47,3/17/18,Gonzaga,N,Ohio State,W 90-84,200,31,58,0.534,22,36,0.611,9,22,0.409,19,31,0.613,90
48,3/23/18,Villanova,N,West Virginia,W 90-78,200,27,54,0.5,14,30,0.467,13,24,0.542,23,27,0.852,90
49,3/19/11,BYU,N,Gonzaga,W 89-67,200,31,59,0.525,17,31,0.548,14,28,0.5,13,15,0.867,89
50,3/16/12,Michigan State,N,LIU-Brooklyn,W 89-67,200,40,68,0.588,37,59,0.627,3,9,0.333,6,9,0.667,89
51,3/20/14,UConn,N,St. Joseph's,W 89-81 (OT),225,30,66,0.455,19,42,0.452,11,24,0.458,18,20,0.9,89
52,3/15/18,Duke,N,Iona,W 89-67,200,36,67,0.537,23,37,0.622,13,30,0.433,4,8,0.5,89
53,3/15/18,Buffalo,N,Arizona,W 89-68,200,34,62,0.548,19,32,0.594,15,30,0.5,6,7,0.857,89
54,3/15/12,Marquette,N,BYU,W 88-68,200,30,66,0.455,21,46,0.457,9,20,0.45,19,26,0.731,88
55,3/21/13,VCU,N,Akron,W 88-42,200,35,65,0.538,27,49,0.551,8,16,0.5,10,14,0.714,88
56,3/20/16,Northern Iowa,N,Texas A&M,L 88-92 (2OT),250,27,69,0.391,15,35,0.429,12,34,0.353,22,27,0.815,88
57,3/27/16,UNC,N,Notre Dame,W 88-74,200,32,52,0.615,28,39,0.718,4,13,0.308,20,24,0.833,88
58,3/14/17,Wake Forest,N,Kansas State,L 88-95,200,25,53,0.472,16,26,0.615,9,27,0.333,29,32,0.906,88
59,3/19/17,South Carolina,N,Duke,W 88-81,200,27,63,0.429,20,41,0.488,7,22,0.318,27,32,0.844,88
60,3/18/11,Duke,N,Hampton,W 87-45,200,32,60,0.533,23,41,0.561,9,19,0.474,14,16,0.875,87
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
61,3/18/11,LIU-Brooklyn,N,UNC,L 87-102,200,31,85,0.365,23,54,0.426,8,31,0.258,17,25,0.68,87
62,3/17/12,Kentucky,N,Iowa State,W 87-71,200,31,56,0.554,21,36,0.583,10,20,0.5,15,22,0.682,87
63,3/18/12,UNC,N,Creighton,W 87-73,200,33,65,0.508,25,49,0.51,8,16,0.5,13,19,0.684,87
64,3/29/13,Michigan,N,Kansas,W 87-85 (OT),225,35,71,0.493,27,48,0.563,8,23,0.348,9,17,0.529,87
65,3/20/14,Texas,N,Arizona State,W 87-85,200,31,58,0.534,26,46,0.565,5,12,0.417,20,27,0.741,87
66,3/20/14,Oregon,N,BYU,W 87-68,200,27,54,0.5,25,41,0.61,2,13,0.154,31,38,0.816,87
67,3/21/15,UNC,N,Arkansas,W 87-78,200,27,60,0.45,23,50,0.46,4,10,0.4,29,37,0.784,87
68,3/22/15,Gonzaga,N,Iowa,W 87-68,200,32,52,0.615,22,36,0.611,10,16,0.625,13,21,0.619,87
69,3/20/16,Villanova,N,Iowa,W 87-68,200,32,54,0.593,22,35,0.629,10,19,0.526,13,17,0.765,87
70,3/17/17,Duke,N,Troy,W 87-65,200,29,62,0.468,16,34,0.471,13,28,0.464,16,23,0.696,87
71,3/15/18,Villanova,N,Radford,W 87-61,200,31,52,0.596,17,25,0.68,14,27,0.519,11,14,0.786,87
72,3/16/18,Nevada,N,Texas,W 87-83 (OT),225,32,63,0.508,21,34,0.618,11,29,0.379,12,20,0.6,87
73,3/17/18,Duke,N,Rhode Island,W 87-62,200,29,51,0.569,19,30,0.633,10,21,0.476,19,24,0.792,87
74,3/17/11,Gonzaga,N,St. John's (NY),W 86-71,200,28,52,0.538,19,37,0.514,9,15,0.6,21,26,0.808,86
75,3/20/11,UNC,N,Washington,W 86-83,200,31,66,0.47,25,54,0.463,6,12,0.5,18,23,0.783,86
76,3/16/12,Norfolk State,N,Missouri,W 86-84,200,32,59,0.542,22,40,0.55,10,19,0.526,12,18,0.667,86
77,3/21/14,Tennessee,N,UMass,W 86-67,199,30,56,0.536,28,42,0.667,2,14,0.143,24,31,0.774,86
78,3/20/15,Wisconsin,N,Coastal Caro.,W 86-72,200,33,61,0.541,22,34,0.647,11,27,0.407,9,12,0.75,86
79,3/20/15,Gonzaga,N,North Dakota St.,W 86-76,200,30,58,0.517,23,36,0.639,7,22,0.318,19,28,0.679,86
80,3/18/16,Villanova,N,UNC Asheville,W 86-56,200,33,57,0.579,20,29,0.69,13,28,0.464,7,11,0.636,86
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
81,3/25/16,Indiana,N,UNC,L 86-101,200,25,61,0.41,12,30,0.4,13,31,0.419,23,26,0.885,86
82,3/16/17,Florida State,N,Fla. Gulf Coast,W 86-80,200,30,54,0.556,28,41,0.683,2,13,0.154,24,39,0.615,86
83,3/16/17,West Virginia,N,Bucknell,W 86-80,200,30,66,0.455,25,55,0.455,5,11,0.455,21,29,0.724,86
84,3/24/17,Kentucky,N,UCLA,W 86-75,200,31,63,0.492,21,40,0.525,10,23,0.435,14,17,0.824,86
85,3/15/18,Alabama,N,Virginia Tech,W 86-83,200,30,50,0.6,22,32,0.688,8,18,0.444,18,27,0.667,86
86,3/18/18,Texas A&M,N,UNC,W 86-65,200,31,60,0.517,21,36,0.583,10,24,0.417,14,21,0.667,86
87,3/18/11,Texas,N,Oakland,W 85-81,200,30,63,0.476,26,54,0.481,4,9,0.444,21,26,0.808,85
88,3/29/13,Kansas,N,Michigan,L 85-87 (OT),225,36,66,0.545,30,50,0.6,6,16,0.375,7,10,0.7,85
89,3/31/13,Louisville,N,Duke,W 85-63,200,29,55,0.527,27,42,0.643,2,13,0.154,25,36,0.694,85
90,3/20/14,Arizona State,N,Texas,L 85-87,200,27,56,0.482,19,41,0.463,8,15,0.533,23,33,0.697,85
91,3/21/14,Gonzaga,N,Oklahoma State,W 85-77,200,25,50,0.5,16,32,0.5,9,18,0.5,26,41,0.634,85
92,3/22/14,Wisconsin,N,Oregon,W 85-77,200,29,60,0.483,18,32,0.563,11,28,0.393,16,25,0.64,85
93,3/23/14,Baylor,N,Creighton,W 85-55,200,30,47,0.638,19,29,0.655,11,18,0.611,14,21,0.667,85
94,3/23/14,Iowa State,N,UNC,W 85-83,200,29,66,0.439,17,40,0.425,12,26,0.462,15,21,0.714,85
95,3/20/15,Duke,N,Robert Morris,W 85-56,200,34,54,0.63,24,33,0.727,10,21,0.476,7,14,0.5,85
96,3/28/15,Wisconsin,N,Arizona,W 85-78,200,25,45,0.556,13,27,0.481,12,18,0.667,23,31,0.742,85
97,3/17/16,UNC Wilmington,N,Duke,L 85-93,200,30,68,0.441,19,42,0.452,11,26,0.423,14,19,0.737,85
98,3/17/16,Kentucky,N,Stony Brook,W 85-57,200,33,63,0.524,29,50,0.58,4,13,0.308,15,17,0.882,85
99,3/17/16,Little Rock,N,Purdue,W 85-83 (2OT),250,30,77,0.39,21,50,0.42,9,27,0.333,16,28,0.571,85
100,3/19/16,UNC,N,Providence,W 85-66,200,31,59,0.525,27,45,0.6,4,14,0.286,19,21,0.905,85
101,3/20/16,Oklahoma,N,VCU,W 85-81,200,29,60,0.483,21,34,0.618,8,26,0.308,19,25,0.76,85
102,3/16/17,Saint Mary's,N,VCU,W 85-77,200,25,45,0.556,19,28,0.679,6,17,0.353,29,39,0.744,85
103,3/16/18,West Virginia,N,Murray State,W 85-68,200,32,62,0.516,28,51,0.549,4,11,0.364,17,24,0.708,85
104,3/25/18,Kansas,N,Duke,W 85-81 (OT),225,30,69,0.435,17,33,0.515,13,36,0.361,12,15,0.8,85
105,3/17/11,West Virginia,N,Clemson,W 84-76,200,27,55,0.491,22,42,0.524,5,13,0.385,25,31,0.806,84
106,3/16/12,Missouri,N,Norfolk State,L 84-86,200,29,55,0.527,16,26,0.615,13,29,0.448,13,17,0.765,84
107,3/18/12,Florida,N,Norfolk State,W 84-50,200,28,53,0.528,18,25,0.72,10,28,0.357,18,25,0.72,84
108,3/21/13,Colorado State,N,Missouri,W 84-72,200,25,51,0.49,18,37,0.486,7,14,0.5,27,33,0.818,84
109,3/23/14,Arizona,N,Gonzaga,W 84-61,200,32,65,0.492,25,47,0.532,7,18,0.389,13,18,0.722,84
110,3/19/15,Georgetown,N,Eastern Wash.,W 84-74,200,25,48,0.521,14,25,0.56,11,23,0.478,23,32,0.719,84
111,3/25/16,Virginia,N,Iowa State,W 84-71,200,32,57,0.561,28,46,0.609,4,11,0.364,16,24,0.667,84
112,3/16/17,Iowa State,N,Nevada,W 84-73,200,30,54,0.556,22,35,0.629,8,19,0.421,16,18,0.889,84
113,3/16/17,Wisconsin,N,Virginia Tech,W 84-74,200,26,60,0.433,13,29,0.448,13,31,0.419,19,25,0.76,84
114,3/17/17,Rhode Island,N,Creighton,W 84-72,200,26,58,0.448,22,37,0.595,4,21,0.19,28,31,0.903,84
115,3/24/17,Florida,N,Wisconsin,W 84-83 (OT),225,28,62,0.452,20,40,0.5,8,22,0.364,20,28,0.714,84
116,3/16/18,UNC,N,Lipscomb,W 84-66,200,31,60,0.517,22,38,0.579,9,22,0.409,13,18,0.722,84
117,3/17/18,Ohio State,N,Gonzaga,L 84-90,200,30,66,0.455,19,40,0.475,11,26,0.423,13,16,0.813,84
118,3/18/18,Clemson,N,Auburn,W 84-53,200,29,61,0.475,19,35,0.543,10,26,0.385,16,23,0.696,84
119,3/20/11,Washington,N,UNC,L 83-86,200,33,72,0.458,23,53,0.434,10,19,0.526,7,7,1,83
120,3/24/11,Florida,N,BYU,W 83-74 (OT),225,31,65,0.477,20,31,0.645,11,34,0.324,10,22,0.455,83
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
