Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/17/15,Ole Miss,N,BYU,W 94-90,200,36,80,0.45,29,57,0.509,7,23,0.304,15,23,0.652,94
2,3/19/15,Arizona,N,Texas Southern,W 93-72,200,32,53,0.604,27,42,0.643,5,11,0.455,24,27,0.889,93
3,3/19/15,Villanova,N,Lafayette,W 93-52,200,36,57,0.632,25,35,0.714,11,22,0.5,10,15,0.667,93
4,3/21/15,UCLA,N,UAB,W 92-75,200,35,58,0.603,30,49,0.612,5,9,0.556,17,25,0.68,92
5,3/17/15,BYU,N,Ole Miss,L 90-94,200,28,58,0.483,13,29,0.448,15,29,0.517,19,27,0.704,90
6,3/21/15,UNC,N,Arkansas,W 87-78,200,27,60,0.45,23,50,0.46,4,10,0.4,29,37,0.784,87
7,3/22/15,Gonzaga,N,Iowa,W 87-68,200,32,52,0.615,22,36,0.611,10,16,0.625,13,21,0.619,87
8,3/20/15,Wisconsin,N,Coastal Caro.,W 86-72,200,33,61,0.541,22,34,0.647,11,27,0.407,9,12,0.75,86
9,3/20/15,Gonzaga,N,North Dakota St.,W 86-76,200,30,58,0.517,23,36,0.639,7,22,0.318,19,28,0.679,86
10,3/20/15,Duke,N,Robert Morris,W 85-56,200,34,54,0.63,24,33,0.727,10,21,0.476,7,14,0.5,85
11,3/28/15,Wisconsin,N,Arizona,W 85-78,200,25,45,0.556,13,27,0.481,12,18,0.667,23,31,0.742,85
12,3/19/15,Georgetown,N,Eastern Wash.,W 84-74,200,25,48,0.521,14,25,0.56,11,23,0.478,23,32,0.719,84
13,3/20/15,Iowa,N,Davidson,W 83-52,200,35,69,0.507,29,53,0.547,6,16,0.375,7,10,0.7,83
14,3/18/15,Robert Morris,N,North Florida,W 81-77,200,28,62,0.452,24,46,0.522,4,16,0.25,21,33,0.636,81
15,3/20/15,Wichita State,N,Indiana,W 81-76,200,25,61,0.41,23,48,0.479,2,13,0.154,29,34,0.853,81
16,3/26/15,Notre Dame,N,Wichita State,W 81-70,200,30,54,0.556,21,35,0.6,9,19,0.474,12,15,0.8,81
17,4/4/15,Duke,N,Michigan State,W 81-61,200,26,50,0.52,24,40,0.6,2,10,0.2,27,37,0.73,81
18,3/19/15,Kentucky,N,Hampton,W 79-56,200,28,61,0.459,25,51,0.49,3,10,0.3,20,28,0.714,79
19,3/20/15,Virginia,N,Belmont,W 79-67,200,26,57,0.456,20,40,0.5,6,17,0.353,21,25,0.84,79
20,3/20/15,Oregon,N,Oklahoma State,W 79-73,200,29,53,0.547,22,34,0.647,7,19,0.368,14,18,0.778,79
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,3/26/15,Wisconsin,N,UNC,W 79-72,200,26,56,0.464,19,35,0.543,7,21,0.333,20,23,0.87,79
22,3/21/15,Arkansas,N,UNC,L 78-87,200,24,65,0.369,16,40,0.4,8,25,0.32,22,27,0.815,78
23,3/22/15,Wichita State,N,Kansas,W 78-65,200,25,51,0.49,15,31,0.484,10,20,0.5,18,24,0.75,78
24,3/26/15,Kentucky,N,West Virginia,W 78-39,200,24,50,0.48,20,35,0.571,4,15,0.267,26,32,0.813,78
25,3/28/15,Arizona,N,Wisconsin,L 78-85,200,24,43,0.558,22,37,0.595,2,6,0.333,28,30,0.933,78
26,3/18/15,North Florida,N,Robert Morris,L 77-81,200,25,52,0.481,16,30,0.533,9,22,0.409,18,26,0.692,77
27,3/19/15,Xavier,N,Ole Miss,W 76-57,200,26,56,0.464,16,33,0.485,10,23,0.435,14,21,0.667,76
28,3/20/15,North Dakota St.,N,Gonzaga,L 76-86,200,29,54,0.537,19,33,0.576,10,21,0.476,8,12,0.667,76
29,3/20/15,Indiana,N,Wichita State,L 76-81,200,24,59,0.407,13,37,0.351,11,22,0.5,17,20,0.85,76
30,3/20/15,San Diego State,N,St. John's (NY),W 76-64,200,25,53,0.472,16,31,0.516,9,22,0.409,17,30,0.567,76
31,3/29/15,Michigan State,N,Louisville,W 76-70 (OT),225,26,60,0.433,17,37,0.459,9,23,0.391,15,20,0.75,76
32,3/19/15,Ohio State,N,VCU,W 75-72 (OT),225,28,57,0.491,22,42,0.524,6,15,0.4,13,22,0.591,75
