Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/17/16,Kansas,N,Austin Peay,W 105-79,200,39,70,0.557,33,54,0.611,6,16,0.375,21,27,0.778,105
2,3/25/16,UNC,N,Indiana,W 101-86,200,32,62,0.516,21,42,0.5,11,20,0.55,26,33,0.788,101
3,3/17/16,Indiana,N,Chattanooga,W 99-74,200,37,57,0.649,27,40,0.675,10,17,0.588,15,18,0.833,99
4,3/15/16,Fla. Gulf Coast,N,Fairl. Dickinson,W 96-65,200,34,57,0.596,26,34,0.765,8,23,0.348,20,34,0.588,96
5,4/2/16,Villanova,N,Oklahoma,W 95-51,200,35,49,0.714,24,31,0.774,11,18,0.611,14,19,0.737,95
6,3/17/16,Iowa State,N,Iona,W 94-81,200,32,64,0.5,22,42,0.524,10,22,0.455,20,25,0.8,94
7,3/17/16,Duke,N,UNC Wilmington,W 93-85,200,29,54,0.537,25,39,0.641,4,15,0.267,31,43,0.721,93
8,3/18/16,Texas A&M,N,Green Bay,W 92-65,200,32,57,0.561,25,38,0.658,7,19,0.368,21,28,0.75,92
9,3/20/16,Texas A&M,N,Northern Iowa,W 92-88 (2OT),250,31,71,0.437,24,39,0.615,7,32,0.219,23,34,0.676,92
10,3/24/16,Villanova,N,Miami (FL),W 92-69,200,32,51,0.627,22,36,0.611,10,15,0.667,18,19,0.947,92
11,3/18/16,Oregon,N,Holy Cross,W 91-52,200,34,61,0.557,28,41,0.683,6,20,0.3,17,22,0.773,91
12,3/18/16,Middle Tenn.,N,Michigan State,W 90-81,200,33,59,0.559,22,40,0.55,11,19,0.579,13,21,0.619,90
13,3/20/16,Northern Iowa,N,Texas A&M,L 88-92 (2OT),250,27,69,0.391,15,35,0.429,12,34,0.353,22,27,0.815,88
14,3/27/16,UNC,N,Notre Dame,W 88-74,200,32,52,0.615,28,39,0.718,4,13,0.308,20,24,0.833,88
15,3/20/16,Villanova,N,Iowa,W 87-68,200,32,54,0.593,22,35,0.629,10,19,0.526,13,17,0.765,87
16,3/18/16,Villanova,N,UNC Asheville,W 86-56,200,33,57,0.579,20,29,0.69,13,28,0.464,7,11,0.636,86
17,3/25/16,Indiana,N,UNC,L 86-101,200,25,61,0.41,12,30,0.4,13,31,0.419,23,26,0.885,86
18,3/17/16,UNC Wilmington,N,Duke,L 85-93,200,30,68,0.441,19,42,0.452,11,26,0.423,14,19,0.737,85
19,3/17/16,Kentucky,N,Stony Brook,W 85-57,200,33,63,0.524,29,50,0.58,4,13,0.308,15,17,0.882,85
20,3/17/16,Little Rock,N,Purdue,W 85-83 (2OT),250,30,77,0.39,21,50,0.42,9,27,0.333,16,28,0.571,85
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,3/19/16,UNC,N,Providence,W 85-66,200,31,59,0.525,27,45,0.6,4,14,0.286,19,21,0.905,85
22,3/20/16,Oklahoma,N,VCU,W 85-81,200,29,60,0.483,21,34,0.618,8,26,0.308,19,25,0.76,85
23,3/25/16,Virginia,N,Iowa State,W 84-71,200,32,57,0.561,28,46,0.609,4,11,0.364,16,24,0.667,84
24,3/17/16,UNC,N,Fla. Gulf Coast,W 83-67,200,31,72,0.431,24,51,0.471,7,21,0.333,14,19,0.737,83
25,3/17/16,Purdue,N,Little Rock,L 83-85 (2OT),250,26,62,0.419,17,34,0.5,9,28,0.321,22,28,0.786,83
26,4/2/16,UNC,N,Syracuse,W 83-66,200,35,65,0.538,31,48,0.646,4,17,0.235,9,11,0.818,83
27,3/18/16,Oklahoma,N,Cal St Bakersfield,W 82-68,200,28,56,0.5,17,36,0.472,11,20,0.55,15,25,0.6,82
28,3/19/16,Gonzaga,N,Utah,W 82-59,200,34,61,0.557,25,42,0.595,9,19,0.474,5,6,0.833,82
29,3/24/16,Oregon,N,Duke,W 82-68,200,32,65,0.492,22,42,0.524,10,23,0.435,8,17,0.471,82
30,3/17/16,Iona,N,Iowa State,L 81-94,200,31,64,0.484,24,40,0.6,7,24,0.292,12,18,0.667,81
31,3/17/16,Virginia,N,Hampton,W 81-45,200,32,58,0.552,20,33,0.606,12,25,0.48,5,8,0.625,81
32,3/18/16,Michigan State,N,Middle Tenn.,L 81-90,200,30,54,0.556,19,30,0.633,11,24,0.458,10,15,0.667,81
33,3/20/16,VCU,N,Oklahoma,L 81-85,200,30,66,0.455,19,35,0.543,11,31,0.355,10,16,0.625,81
34,3/17/16,Utah,N,Fresno State,W 80-69,200,27,50,0.54,20,32,0.625,7,18,0.389,19,22,0.864,80
35,3/26/16,Oklahoma,N,Oregon,W 80-68,200,27,58,0.466,15,34,0.441,12,24,0.5,14,17,0.824,80
36,3/17/16,Yale,N,Baylor,W 79-75,200,26,49,0.531,21,33,0.636,5,16,0.313,22,29,0.759,79
37,3/17/16,Austin Peay,N,Kansas,L 79-105,200,25,61,0.41,21,46,0.457,4,15,0.267,25,37,0.676,79
38,3/17/16,Miami (FL),N,Buffalo,W 79-72,200,24,54,0.444,19,39,0.487,5,15,0.333,26,34,0.765,79
39,3/18/16,Maryland,N,S Dakota St.,W 79-74,200,23,45,0.511,14,22,0.636,9,23,0.391,24,27,0.889,79
40,3/24/16,Kansas,N,Maryland,W 79-63,200,29,62,0.468,26,53,0.491,3,9,0.333,18,21,0.857,79
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,3/18/16,St. Joseph's,N,Cincinnati,W 78-76,200,28,58,0.483,19,34,0.559,9,24,0.375,13,17,0.765,78
42,3/19/16,Iowa State,N,Little Rock,W 78-61,200,30,53,0.566,19,32,0.594,11,21,0.524,7,16,0.438,78
43,3/18/16,Hawaii,N,California,W 77-66,200,27,52,0.519,24,38,0.632,3,14,0.214,20,25,0.8,77
44,3/19/16,Virginia,N,Butler,W 77-69,200,29,52,0.558,27,42,0.643,2,10,0.2,17,21,0.81,77
45,3/24/16,Oklahoma,N,Texas A&M,W 77-63,200,31,63,0.492,20,38,0.526,11,25,0.44,4,9,0.444,77
46,4/4/16,Villanova,N,UNC,W 77-74,200,28,48,0.583,20,34,0.588,8,14,0.571,13,17,0.765,77
47,3/18/16,Cincinnati,N,St. Joseph's,L 76-78,200,28,55,0.509,18,31,0.581,10,24,0.417,10,13,0.769,76
48,3/20/16,Notre Dame,N,Stephen F. Austin,W 76-75,200,29,51,0.569,23,34,0.676,6,17,0.353,12,16,0.75,76
49,3/17/16,Baylor,N,Yale,L 75-79,200,30,68,0.441,24,52,0.462,6,16,0.375,9,15,0.6,75
50,3/18/16,VCU,N,Oregon State,W 75-67,200,27,56,0.482,23,36,0.639,4,20,0.2,17,21,0.81,75
51,3/18/16,Northern Iowa,N,Texas,W 75-72,200,21,43,0.488,13,23,0.565,8,20,0.4,25,32,0.781,75
52,3/20/16,Stephen F. Austin,N,Notre Dame,L 75-76,200,29,64,0.453,21,37,0.568,8,27,0.296,9,9,1,75
53,3/20/16,Syracuse,N,Middle Tenn.,W 75-50,200,27,49,0.551,19,29,0.655,8,20,0.4,13,22,0.591,75
54,3/17/16,UConn,N,Colorado,W 74-67,200,23,58,0.397,17,41,0.415,6,17,0.353,22,23,0.957,74
55,3/17/16,Chattanooga,N,Indiana,L 74-99,200,28,59,0.475,25,42,0.595,3,17,0.176,15,18,0.833,74
56,3/18/16,S Dakota St.,N,Maryland,L 74-79,200,24,59,0.407,14,30,0.467,10,29,0.345,16,17,0.941,74
57,3/27/16,Notre Dame,N,UNC,L 74-88,200,27,49,0.551,18,31,0.581,9,18,0.5,11,14,0.786,74
58,4/4/16,UNC,N,Villanova,L 74-77,200,27,63,0.429,16,46,0.348,11,17,0.647,9,13,0.692,74
59,3/19/16,Kansas,N,UConn,W 73-61,200,25,51,0.49,19,34,0.559,6,17,0.353,17,22,0.773,73
60,3/19/16,Indiana,N,Kentucky,W 73-67,200,25,52,0.481,19,31,0.613,6,21,0.286,17,23,0.739,73
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
61,3/20/16,Maryland,N,Hawaii,W 73-60,200,22,48,0.458,21,30,0.7,1,18,0.056,28,31,0.903,73
62,3/17/16,Buffalo,N,Miami (FL),L 72-79,200,23,59,0.39,13,33,0.394,10,26,0.385,16,22,0.727,72
63,3/18/16,Iowa,N,Temple,W 72-70 (OT),225,24,69,0.348,17,41,0.415,7,28,0.25,17,22,0.773,72
64,3/18/16,Texas,N,Northern Iowa,L 72-75,200,25,56,0.446,16,33,0.485,9,23,0.391,13,18,0.722,72
65,3/17/16,Butler,N,Texas Tech,W 71-61,200,25,51,0.49,16,34,0.471,9,17,0.529,12,16,0.75,71
66,3/18/16,Xavier,N,Weber State,W 71-53,200,30,62,0.484,23,48,0.479,7,14,0.5,4,4,1,71
67,3/19/16,Duke,N,Yale,W 71-64,200,23,50,0.46,12,27,0.444,11,23,0.478,14,16,0.875,71
68,3/25/16,Iowa State,N,Virginia,L 71-84,200,27,52,0.519,20,34,0.588,7,18,0.389,10,15,0.667,71
69,3/15/16,Wichita State,N,Vanderbilt,W 70-50,200,22,59,0.373,15,40,0.375,7,19,0.368,19,25,0.76,70
70,3/17/16,Providence,N,USC,W 70-69,200,25,62,0.403,16,38,0.421,9,24,0.375,11,14,0.786,70
71,3/18/16,Syracuse,N,Dayton,W 70-51,200,21,53,0.396,13,31,0.419,8,22,0.364,20,23,0.87,70
72,3/18/16,Temple,N,Iowa,L 70-72 (OT),225,30,66,0.455,26,48,0.542,4,18,0.222,6,9,0.667,70
73,3/18/16,Notre Dame,N,Michigan,W 70-63,200,25,43,0.581,17,28,0.607,8,15,0.533,12,15,0.8,70
74,3/18/16,Stephen F. Austin,N,West Virginia,W 70-56,200,17,55,0.309,10,32,0.313,7,23,0.304,29,39,0.744,70
75,3/17/16,USC,N,Providence,L 69-70,200,28,52,0.538,22,39,0.564,6,13,0.462,7,13,0.538,69
76,3/17/16,Fresno State,N,Utah,L 69-80,200,26,53,0.491,19,35,0.543,7,18,0.389,10,12,0.833,69
77,3/19/16,Butler,N,Virginia,L 69-77,200,25,54,0.463,18,39,0.462,7,15,0.467,12,17,0.706,69
78,3/20/16,Oregon,N,St. Joseph's,W 69-64,200,21,53,0.396,15,29,0.517,6,24,0.25,21,25,0.84,69
79,3/24/16,Miami (FL),N,Villanova,L 69-92,200,25,47,0.532,15,30,0.5,10,17,0.588,9,13,0.692,69
80,3/17/16,Gonzaga,N,Seton Hall,W 68-52,200,24,56,0.429,18,39,0.462,6,17,0.353,14,21,0.667,68
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
81,3/18/16,Cal St Bakersfield,N,Oklahoma,L 68-82,200,26,58,0.448,21,40,0.525,5,18,0.278,11,14,0.786,68
82,3/20/16,Iowa,N,Villanova,L 68-87,200,27,60,0.45,20,36,0.556,7,24,0.292,7,13,0.538,68
83,3/24/16,Duke,N,Oregon,L 68-82,200,26,59,0.441,19,37,0.514,7,22,0.318,9,15,0.6,68
84,3/26/16,Oregon,N,Oklahoma,L 68-80,200,21,54,0.389,17,33,0.515,4,21,0.19,22,30,0.733,68
85,3/27/16,Syracuse,N,Virginia,W 68-62,200,21,57,0.368,15,39,0.385,6,18,0.333,20,25,0.8,68
86,3/16/16,Michigan,N,Tulsa,W 67-62,200,24,59,0.407,18,34,0.529,6,25,0.24,13,16,0.813,67
87,3/17/16,Colorado,N,UConn,L 67-74,200,23,51,0.451,21,41,0.512,2,10,0.2,19,30,0.633,67
88,3/17/16,Fla. Gulf Coast,N,UNC,L 67-83,200,25,58,0.431,23,47,0.489,2,11,0.182,15,24,0.625,67
89,3/18/16,Oregon State,N,VCU,L 67-75,200,25,60,0.417,18,43,0.419,7,17,0.412,10,15,0.667,67
90,3/19/16,Kentucky,N,Indiana,L 67-73,200,24,57,0.421,20,41,0.488,4,16,0.25,15,19,0.789,67
91,3/18/16,California,N,Hawaii,L 66-77,200,23,56,0.411,20,37,0.541,3,19,0.158,17,26,0.654,66
92,3/19/16,Providence,N,UNC,L 66-85,200,23,57,0.404,17,34,0.5,6,23,0.261,14,23,0.609,66
93,3/20/16,Wisconsin,N,Xavier,W 66-63,200,25,59,0.424,17,32,0.531,8,27,0.296,8,13,0.615,66
94,4/2/16,Syracuse,N,UNC,L 66-83,200,27,66,0.409,19,41,0.463,8,25,0.32,4,13,0.308,66
95,3/15/16,Fairl. Dickinson,N,Fla. Gulf Coast,L 65-96,200,23,70,0.329,15,47,0.319,8,23,0.348,11,18,0.611,65
96,3/17/16,Wichita State,N,Arizona,W 65-55,200,24,59,0.407,21,39,0.538,3,20,0.15,14,19,0.737,65
97,3/18/16,Green Bay,N,Texas A&M,L 65-92,200,21,56,0.375,12,29,0.414,9,27,0.333,14,23,0.609,65
98,3/19/16,Miami (FL),N,Wichita State,W 65-57,200,21,38,0.553,14,26,0.538,7,12,0.583,16,23,0.696,65
99,3/19/16,Yale,N,Duke,L 64-71,200,25,65,0.385,21,42,0.5,4,23,0.174,10,13,0.769,64
100,3/20/16,St. Joseph's,N,Oregon,L 64-69,200,22,57,0.386,18,42,0.429,4,15,0.267,16,20,0.8,64
101,3/26/16,Villanova,N,Kansas,W 64-59,200,21,52,0.404,17,34,0.5,4,18,0.222,18,19,0.947,64
102,3/18/16,Michigan,N,Notre Dame,L 63-70,200,25,63,0.397,15,36,0.417,10,27,0.37,3,5,0.6,63
103,3/20/16,Xavier,N,Wisconsin,L 63-66,200,22,54,0.407,17,38,0.447,5,16,0.313,14,21,0.667,63
104,3/24/16,Maryland,N,Kansas,L 63-79,200,22,55,0.4,17,30,0.567,5,25,0.2,14,20,0.7,63
105,3/24/16,Texas A&M,N,Oklahoma,L 63-77,200,22,64,0.344,16,36,0.444,6,28,0.214,13,24,0.542,63
106,3/25/16,Syracuse,N,Gonzaga,W 63-60,200,22,61,0.361,17,46,0.37,5,15,0.333,14,16,0.875,63
107,3/16/16,Tulsa,N,Michigan,L 62-67,200,25,56,0.446,22,41,0.537,3,15,0.2,9,15,0.6,62
108,3/27/16,Virginia,N,Syracuse,L 62-68,200,22,53,0.415,14,32,0.438,8,21,0.381,10,12,0.833,62
109,3/17/16,Texas Tech,N,Butler,L 61-71,200,25,54,0.463,18,36,0.5,7,18,0.389,4,9,0.444,61
110,3/19/16,Little Rock,N,Iowa State,L 61-78,200,20,54,0.37,12,29,0.414,8,25,0.32,13,16,0.813,61
111,3/19/16,UConn,N,Kansas,L 61-73,200,21,62,0.339,11,40,0.275,10,22,0.455,9,11,0.818,61
112,3/25/16,Notre Dame,N,Wisconsin,W 61-56,200,22,55,0.4,18,42,0.429,4,13,0.308,13,14,0.929,61
113,3/20/16,Hawaii,N,Maryland,L 60-73,200,23,70,0.329,19,51,0.373,4,19,0.211,10,15,0.667,60
114,3/25/16,Gonzaga,N,Syracuse,L 60-63,200,24,55,0.436,16,34,0.471,8,21,0.381,4,5,0.8,60
115,3/16/16,Holy Cross,N,Southern,W 59-55,200,18,40,0.45,9,15,0.6,9,25,0.36,14,19,0.737,59
116,3/19/16,Utah,N,Gonzaga,L 59-82,200,22,52,0.423,15,37,0.405,7,15,0.467,8,8,1,59
117,3/26/16,Kansas,N,Villanova,L 59-64,200,23,50,0.46,17,28,0.607,6,22,0.273,7,11,0.636,59
118,3/17/16,Stony Brook,N,Kentucky,L 57-85,200,20,76,0.263,17,63,0.27,3,13,0.231,14,18,0.778,57
119,3/19/16,Wichita State,N,Miami (FL),L 57-65,200,20,59,0.339,14,37,0.378,6,22,0.273,11,14,0.786,57
120,3/18/16,UNC Asheville,N,Villanova,L 56-86,200,21,57,0.368,16,40,0.4,5,17,0.294,9,13,0.692,56
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
121,3/18/16,West Virginia,N,Stephen F. Austin,L 56-70,200,16,52,0.308,13,36,0.361,3,16,0.188,21,27,0.778,56
122,3/25/16,Wisconsin,N,Notre Dame,L 56-61,200,23,57,0.404,17,37,0.459,6,20,0.3,4,6,0.667,56
123,3/16/16,Southern,N,Holy Cross,L 55-59,200,22,56,0.393,19,36,0.528,3,20,0.15,8,11,0.727,55
124,3/17/16,Arizona,N,Wichita State,L 55-65,200,20,48,0.417,14,30,0.467,6,18,0.333,9,15,0.6,55
125,3/18/16,Weber State,N,Xavier,L 53-71,200,22,57,0.386,18,36,0.5,4,21,0.19,5,11,0.455,53
126,3/17/16,Seton Hall,N,Gonzaga,L 52-68,200,20,62,0.323,16,41,0.39,4,21,0.19,8,21,0.381,52
127,3/18/16,Holy Cross,N,Oregon,L 52-91,200,20,55,0.364,14,32,0.438,6,23,0.261,6,15,0.4,52
128,3/18/16,Dayton,N,Syracuse,L 51-70,200,18,56,0.321,12,34,0.353,6,22,0.273,9,19,0.474,51
129,4/2/16,Oklahoma,N,Villanova,L 51-95,200,19,60,0.317,13,33,0.394,6,27,0.222,7,11,0.636,51
130,3/15/16,Vanderbilt,N,Wichita State,L 50-70,200,16,53,0.302,13,34,0.382,3,19,0.158,15,26,0.577,50
