Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/20/14,Michigan State,N,Delaware,W 93-78,200,30,56,0.536,20,37,0.541,10,19,0.526,23,25,0.92,93
2,3/21/14,Iowa State,N,N.C. Central,W 93-75,200,35,55,0.636,26,38,0.684,9,17,0.529,14,16,0.875,93
3,3/20/14,UConn,N,St. Joseph's,W 89-81 (OT),225,30,66,0.455,19,42,0.452,11,24,0.458,18,20,0.9,89
4,3/20/14,Texas,N,Arizona State,W 87-85,200,31,58,0.534,26,46,0.565,5,12,0.417,20,27,0.741,87
5,3/20/14,Oregon,N,BYU,W 87-68,200,27,54,0.5,25,41,0.61,2,13,0.154,31,38,0.816,87
6,3/21/14,Tennessee,N,UMass,W 86-67,199,30,56,0.536,28,42,0.667,2,14,0.143,24,31,0.774,86
7,3/20/14,Arizona State,N,Texas,L 85-87,200,27,56,0.482,19,41,0.463,8,15,0.533,23,33,0.697,85
8,3/21/14,Gonzaga,N,Oklahoma State,W 85-77,200,25,50,0.5,16,32,0.5,9,18,0.5,26,41,0.634,85
9,3/22/14,Wisconsin,N,Oregon,W 85-77,200,29,60,0.483,18,32,0.563,11,28,0.393,16,25,0.64,85
10,3/23/14,Baylor,N,Creighton,W 85-55,200,30,47,0.638,19,29,0.655,11,18,0.611,14,21,0.667,85
11,3/23/14,Iowa State,N,UNC,W 85-83,200,29,66,0.439,17,40,0.425,12,26,0.462,15,21,0.714,85
12,3/23/14,Arizona,N,Gonzaga,W 84-61,200,32,65,0.492,25,47,0.532,7,18,0.389,13,18,0.722,84
13,3/20/14,Saint Louis,N,NC State,W 83-80 (OT),225,31,64,0.484,22,46,0.478,9,18,0.5,12,26,0.462,83
14,3/23/14,UNC,N,Iowa State,L 83-85,200,33,70,0.471,25,50,0.5,8,20,0.4,9,15,0.6,83
15,3/23/14,Tennessee,N,Mercer,W 83-63,200,27,55,0.491,21,33,0.636,6,22,0.273,23,26,0.885,83
16,3/27/14,Dayton,N,Stanford,W 82-72,200,28,58,0.483,20,35,0.571,8,23,0.348,18,26,0.692,82
17,3/19/14,Cal Poly,N,Texas Southern,W 81-69,200,29,51,0.569,23,36,0.639,6,15,0.4,17,22,0.773,81
18,3/20/14,St. Joseph's,N,UConn,L 81-89 (OT),225,27,54,0.5,20,33,0.606,7,21,0.333,20,27,0.741,81
19,3/28/14,UConn,N,Iowa State,W 81-76,200,26,50,0.52,17,31,0.548,9,19,0.474,20,22,0.909,81
20,3/20/14,NC State,N,Saint Louis,L 80-83 (OT),225,28,60,0.467,24,51,0.471,4,9,0.444,20,37,0.541,80
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,3/20/14,North Dakota St.,N,Oklahoma,W 80-75 (OT),225,27,51,0.529,21,37,0.568,6,14,0.429,20,22,0.909,80
22,3/21/14,Kansas,N,Eastern Ky.,W 80-69,200,32,53,0.604,32,46,0.696,0,7,0,16,24,0.667,80
23,3/22/14,Michigan State,N,Harvard,W 80-73,200,28,57,0.491,21,36,0.583,7,21,0.333,17,22,0.773,80
