Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/23/12,Kentucky,N,Indiana,W 102-90,200,31,64,0.484,26,54,0.481,5,10,0.5,35,37,0.946,102
2,3/23/12,Indiana,N,Kentucky,L 90-102,200,36,69,0.522,31,51,0.608,5,18,0.278,13,17,0.765,90
3,3/16/12,Michigan State,N,LIU-Brooklyn,W 89-67,200,40,68,0.588,37,59,0.627,3,9,0.333,6,9,0.667,89
4,3/15/12,Marquette,N,BYU,W 88-68,200,30,66,0.455,21,46,0.457,9,20,0.45,19,26,0.731,88
5,3/17/12,Kentucky,N,Iowa State,W 87-71,200,31,56,0.554,21,36,0.583,10,20,0.5,15,22,0.682,87
6,3/18/12,UNC,N,Creighton,W 87-73,200,33,65,0.508,25,49,0.51,8,16,0.5,13,19,0.684,87
7,3/16/12,Norfolk State,N,Missouri,W 86-84,200,32,59,0.542,22,40,0.55,10,19,0.526,12,18,0.667,86
8,3/16/12,Missouri,N,Norfolk State,L 84-86,200,29,55,0.527,16,26,0.615,13,29,0.448,13,17,0.765,84
9,3/18/12,Florida,N,Norfolk State,W 84-50,200,28,53,0.528,18,25,0.72,10,28,0.357,18,25,0.72,84
10,3/25/12,Kentucky,N,Baylor,W 82-70,200,24,45,0.533,20,36,0.556,4,9,0.444,30,44,0.682,82
11,3/15/12,Kentucky,N,Western Ky.,W 81-66,200,30,54,0.556,27,44,0.614,3,10,0.3,18,25,0.72,81
12,3/22/12,Ohio State,N,Cincinnati,W 81-66,200,27,56,0.482,19,39,0.487,8,17,0.471,19,27,0.704,81
13,3/17/12,Baylor,N,Colorado,W 80-63,200,28,64,0.438,17,44,0.386,11,20,0.55,13,18,0.722,80
14,3/25/12,Kansas,N,UNC,W 80-67,200,29,63,0.46,25,49,0.51,4,14,0.286,18,24,0.75,80
15,3/15/12,Vanderbilt,N,Harvard,W 79-70,200,25,46,0.543,17,28,0.607,8,18,0.444,21,30,0.7,79
16,3/15/12,Indiana,N,New Mexico St.,W 79-66,200,32,54,0.593,25,41,0.61,7,13,0.538,8,10,0.8,79
17,3/16/12,NC State,N,San Diego State,W 79-65,200,31,53,0.585,28,44,0.636,3,9,0.333,14,21,0.667,79
18,3/13/12,BYU,N,Iona,W 78-72,200,30,62,0.484,23,42,0.548,7,20,0.35,11,20,0.55,78
19,3/15/12,Ohio State,N,Loyola (MD),W 78-59,200,26,58,0.448,21,44,0.477,5,14,0.357,21,26,0.808,78
20,3/15/12,Iowa State,N,UConn,W 77-64,200,26,54,0.481,20,38,0.526,6,16,0.375,19,20,0.95,77
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,3/15/12,Gonzaga,N,West Virginia,W 77-54,200,28,50,0.56,19,33,0.576,9,17,0.529,12,16,0.75,77
22,3/16/12,UNC,N,Vermont,W 77-58,200,27,65,0.415,22,47,0.468,5,18,0.278,18,24,0.75,77
23,3/24/12,Ohio State,N,Syracuse,W 77-70,200,21,51,0.412,17,38,0.447,4,13,0.308,31,42,0.738,77
24,3/15/12,New Mexico,N,Long Beach St.,W 75-68,200,25,50,0.5,18,29,0.621,7,21,0.333,18,24,0.75,75
25,3/16/12,Lehigh,N,Duke,W 75-70,200,22,52,0.423,16,34,0.471,6,18,0.333,25,37,0.676,75
26,3/17/12,Syracuse,N,Kansas State,W 75-59,200,23,45,0.511,17,36,0.472,6,9,0.667,23,29,0.793,75
27,3/23/12,Baylor,N,Xavier,W 75-70,200,29,57,0.509,24,42,0.571,5,15,0.333,12,14,0.857,75
28,3/16/12,Georgetown,N,Belmont,W 74-59,200,30,49,0.612,25,37,0.676,5,12,0.417,9,13,0.692,74
29,3/15/12,Wisconsin,N,Montana,W 73-49,200,23,48,0.479,13,29,0.448,10,19,0.526,17,19,0.895,73
30,3/17/12,Ohio State,N,Gonzaga,W 73-66,200,25,53,0.472,16,29,0.552,9,24,0.375,14,18,0.778,73
31,3/18/12,Creighton,N,UNC,L 73-87,200,28,68,0.412,20,48,0.417,8,20,0.4,9,12,0.75,73
32,3/23/12,UNC,N,Ohio,W 73-65 (OT),225,26,65,0.4,19,43,0.442,7,22,0.318,14,24,0.583,73
33,3/13/12,Iona,N,BYU,L 72-78,200,31,70,0.443,25,45,0.556,6,25,0.24,4,8,0.5,72
34,3/15/12,Syracuse,N,UNC Asheville,W 72-65,200,25,56,0.446,20,33,0.606,5,23,0.217,17,24,0.708,72
35,3/16/12,Purdue,N,Saint Mary's,W 72-69,200,26,57,0.456,21,41,0.512,5,16,0.313,15,18,0.833,72
36,3/24/12,Louisville,N,Florida,W 72-68,200,27,60,0.45,21,44,0.477,6,16,0.375,12,15,0.8,72
37,3/14/12,Vermont,N,Lamar,W 71-59,200,25,50,0.5,21,39,0.538,4,11,0.364,17,24,0.708,71
38,3/16/12,Florida,N,Virginia,W 71-45,200,28,53,0.528,24,30,0.8,4,23,0.174,11,17,0.647,71
39,3/17/12,Iowa State,N,Kentucky,L 71-87,200,25,61,0.41,22,39,0.564,3,22,0.136,18,25,0.72,71
40,3/15/12,Harvard,N,Vanderbilt,L 70-79,200,25,56,0.446,16,32,0.5,9,24,0.375,11,14,0.786,70
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,3/15/12,Kansas State,N,Southern Miss,W 70-64,200,21,42,0.5,19,30,0.633,2,12,0.167,26,34,0.765,70
42,3/16/12,Duke,N,Lehigh,L 70-75,200,24,58,0.414,18,32,0.563,6,26,0.231,16,23,0.696,70
43,3/18/12,Xavier,N,Lehigh,W 70-58,200,24,54,0.444,17,39,0.436,7,15,0.467,15,21,0.714,70
44,3/23/12,Xavier,N,Baylor,L 70-75,200,24,56,0.429,21,41,0.512,3,15,0.2,19,24,0.792,70
45,3/24/12,Syracuse,N,Ohio State,L 70-77,200,22,53,0.415,16,37,0.432,6,16,0.375,20,25,0.8,70
46,3/25/12,Baylor,N,Kentucky,L 70-82,200,25,64,0.391,21,50,0.42,4,14,0.286,16,19,0.842,70
47,3/15/12,Louisville,N,Davidson,W 69-62,200,21,52,0.404,20,47,0.426,1,5,0.2,26,36,0.722,69
48,3/16/12,Saint Mary's,N,Purdue,L 69-72,200,27,64,0.422,23,39,0.59,4,25,0.16,11,13,0.846,69
