Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/16/18,Xavier,N,Texas Southern,W 102-83,200,35,64,0.547,24,40,0.6,11,24,0.458,21,32,0.656,102
2,3/22/18,Michigan,N,Texas A&M,W 99-72,200,39,63,0.619,25,39,0.641,14,24,0.583,7,8,0.875,99
3,3/17/18,Kentucky,N,Buffalo,W 95-75,200,36,64,0.563,29,49,0.592,7,15,0.467,16,23,0.696,95
4,3/31/18,Villanova,N,Kansas,W 95-79,200,36,65,0.554,18,25,0.72,18,40,0.45,5,7,0.714,95
5,3/15/18,Seton Hall,N,NC State,W 94-83,200,28,58,0.483,21,37,0.568,7,21,0.333,31,39,0.795,94
6,3/18/18,West Virginia,N,Marshall,W 94-71,200,33,66,0.5,21,41,0.512,12,25,0.48,16,18,0.889,94
7,3/17/18,Gonzaga,N,Ohio State,W 90-84,200,31,58,0.534,22,36,0.611,9,22,0.409,19,31,0.613,90
8,3/23/18,Villanova,N,West Virginia,W 90-78,200,27,54,0.5,14,30,0.467,13,24,0.542,23,27,0.852,90
9,3/15/18,Duke,N,Iona,W 89-67,200,36,67,0.537,23,37,0.622,13,30,0.433,4,8,0.5,89
10,3/15/18,Buffalo,N,Arizona,W 89-68,200,34,62,0.548,19,32,0.594,15,30,0.5,6,7,0.857,89
11,3/15/18,Villanova,N,Radford,W 87-61,200,31,52,0.596,17,25,0.68,14,27,0.519,11,14,0.786,87
12,3/16/18,Nevada,N,Texas,W 87-83 (OT),225,32,63,0.508,21,34,0.618,11,29,0.379,12,20,0.6,87
13,3/17/18,Duke,N,Rhode Island,W 87-62,200,29,51,0.569,19,30,0.633,10,21,0.476,19,24,0.792,87
14,3/15/18,Alabama,N,Virginia Tech,W 86-83,200,30,50,0.6,22,32,0.688,8,18,0.444,18,27,0.667,86
15,3/18/18,Texas A&M,N,UNC,W 86-65,200,31,60,0.517,21,36,0.583,10,24,0.417,14,21,0.667,86
16,3/16/18,West Virginia,N,Murray State,W 85-68,200,32,62,0.516,28,51,0.549,4,11,0.364,17,24,0.708,85
17,3/25/18,Kansas,N,Duke,W 85-81 (OT),225,30,69,0.435,17,33,0.515,13,36,0.361,12,15,0.8,85
18,3/16/18,UNC,N,Lipscomb,W 84-66,200,31,60,0.517,22,38,0.579,9,22,0.409,13,18,0.722,84
