Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,3/22/13,Ohio State,N,Iona,W 95-70,200,34,71,0.479,27,56,0.482,7,15,0.467,20,25,0.8,95
2,3/21/13,VCU,N,Akron,W 88-42,200,35,65,0.538,27,49,0.551,8,16,0.5,10,14,0.714,88
3,3/29/13,Michigan,N,Kansas,W 87-85 (OT),225,35,71,0.493,27,48,0.563,8,23,0.348,9,17,0.529,87
4,3/29/13,Kansas,N,Michigan,L 85-87 (OT),225,36,66,0.545,30,50,0.6,6,16,0.375,7,10,0.7,85
5,3/31/13,Louisville,N,Duke,W 85-63,200,29,55,0.527,27,42,0.643,2,13,0.154,25,36,0.694,85
6,3/21/13,Colorado State,N,Missouri,W 84-72,200,25,51,0.49,18,37,0.486,7,14,0.5,27,33,0.818,84
7,3/22/13,Indiana,N,James Madison,W 83-62,200,29,55,0.527,20,32,0.625,9,23,0.391,16,21,0.762,83
8,3/22/13,Minnesota,N,UCLA,W 83-63,200,31,61,0.508,22,45,0.489,9,16,0.563,12,19,0.632,83
9,3/23/13,Louisville,N,Colorado State,W 82-56,200,31,55,0.564,26,46,0.565,5,9,0.556,15,18,0.833,82
10,4/8/13,Louisville,N,Michigan,W 82-76,200,28,61,0.459,20,45,0.444,8,16,0.5,18,23,0.783,82
11,3/21/13,Arizona,N,Belmont,W 81-64,200,29,51,0.569,20,34,0.588,9,17,0.529,14,20,0.7,81
12,3/21/13,Syracuse,N,Montana,W 81-34,200,27,52,0.519,22,41,0.537,5,11,0.455,22,31,0.71,81
13,3/24/13,Fla. Gulf Coast,N,San Diego State,W 81-71,200,33,59,0.559,26,41,0.634,7,18,0.389,8,12,0.667,81
14,3/20/13,La Salle,N,Boise State,W 80-71,200,31,49,0.633,20,28,0.714,11,21,0.524,7,12,0.583,80
15,3/21/13,Louisville,N,N.C. A&T,W 79-48,200,31,54,0.574,27,38,0.711,4,16,0.25,13,22,0.591,79
16,3/22/13,Florida,N,NW St.,W 79-47,200,29,61,0.475,22,40,0.55,7,21,0.333,14,23,0.609,79
17,3/31/13,Michigan,N,Florida,W 79-59,200,30,65,0.462,20,46,0.435,10,19,0.526,9,13,0.692,79
18,3/22/13,Fla. Gulf Coast,N,Georgetown,W 78-68,200,21,49,0.429,15,34,0.441,6,15,0.4,30,44,0.682,78
19,3/22/13,Miami (FL),N,Pacific,W 78-49,200,24,52,0.462,12,30,0.4,12,22,0.545,18,21,0.857,78
20,3/22/13,UNC,N,Villanova,W 78-71,200,24,49,0.49,13,28,0.464,11,21,0.524,19,27,0.704,78
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,3/23/13,Michigan,N,VCU,W 78-53,200,31,60,0.517,25,40,0.625,6,20,0.3,10,11,0.909,78
22,3/24/13,Florida,N,Minnesota,W 78-64,200,21,37,0.568,11,17,0.647,10,20,0.5,26,36,0.722,78
23,3/24/13,Ohio State,N,Iowa State,W 78-75,200,25,49,0.51,16,31,0.516,9,18,0.5,19,26,0.731,78
24,3/29/13,Louisville,N,Oregon,W 77-69,200,28,52,0.538,24,39,0.615,4,13,0.308,17,26,0.654,77
25,3/22/13,Iowa State,N,Notre Dame,W 76-58,199,29,59,0.492,20,38,0.526,9,21,0.429,9,12,0.75,76
26,3/22/13,Temple,N,NC State,W 76-72,200,24,50,0.48,17,32,0.531,7,18,0.389,21,33,0.636,76
27,3/23/13,Wichita State,N,Gonzaga,W 76-70,200,25,50,0.5,11,22,0.5,14,28,0.5,12,18,0.667,76
28,3/24/13,La Salle,N,Ole Miss,W 76-74,200,27,55,0.491,18,32,0.563,9,23,0.391,13,18,0.722,76
29,4/8/13,Michigan,N,Louisville,L 76-82,200,25,48,0.521,17,30,0.567,8,18,0.444,18,25,0.72,76
30,3/24/13,Iowa State,N,Ohio State,L 75-78,201,23,52,0.442,11,27,0.407,12,25,0.48,17,23,0.739,75
31,3/23/13,Arizona,N,Harvard,W 74-51,200,27,49,0.551,18,34,0.529,9,15,0.6,11,16,0.688,74
32,3/23/13,Marquette,N,Butler,W 74-72,200,23,54,0.426,18,42,0.429,5,12,0.417,23,27,0.852,74
33,3/23/13,Oregon,N,Saint Louis,W 74-57,200,28,53,0.528,20,42,0.476,8,11,0.727,10,16,0.625,74
34,3/24/13,Ole Miss,N,La Salle,L 74-76,200,30,63,0.476,26,44,0.591,4,19,0.211,10,21,0.476,74
35,3/19/13,N.C. A&T,N,Liberty,W 73-72,200,27,52,0.519,19,34,0.559,8,18,0.444,11,19,0.579,73
36,3/21/13,Wichita State,N,Pitt,W 73-55,200,19,49,0.388,17,29,0.586,2,20,0.1,33,41,0.805,73
37,3/22/13,Duke,N,Albany (NY),W 73-61,200,27,46,0.587,23,35,0.657,4,11,0.364,15,21,0.714,73
38,3/28/13,Ohio State,N,Arizona,W 73-70,201,22,52,0.423,15,39,0.385,7,13,0.538,22,26,0.846,73
39,3/19/13,Liberty,N,N.C. A&T,L 72-73,200,23,54,0.426,13,31,0.419,10,23,0.435,16,18,0.889,72
40,3/21/13,Missouri,N,Colorado State,L 72-84,200,24,57,0.421,17,34,0.5,7,23,0.304,17,19,0.895,72
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,3/22/13,NC State,N,Temple,L 72-76,201,29,52,0.558,25,39,0.641,4,13,0.308,10,16,0.625,72
42,3/23/13,Butler,N,Marquette,L 72-74,200,24,56,0.429,13,32,0.406,11,24,0.458,13,19,0.684,72
43,3/28/13,Wichita State,N,La Salle,W 72-58,200,30,67,0.448,25,55,0.455,5,12,0.417,7,9,0.778,72
44,4/6/13,Louisville,N,Wichita State,W 72-68,200,22,49,0.449,13,24,0.542,9,25,0.36,19,29,0.655,72
45,3/20/13,Boise State,N,La Salle,L 71-80,200,26,53,0.491,19,35,0.543,7,18,0.389,12,18,0.667,71
46,3/21/13,Michigan,N,S Dakota St.,W 71-56,200,28,55,0.509,19,35,0.543,9,20,0.45,6,9,0.667,71
47,3/22/13,Villanova,N,UNC,L 71-78,200,27,61,0.443,23,40,0.575,4,21,0.19,13,19,0.684,71
48,3/24/13,San Diego State,N,Fla. Gulf Coast,L 71-81,200,27,61,0.443,19,38,0.5,8,23,0.348,9,13,0.692,71
49,3/28/13,Marquette,N,Miami (FL),W 71-61,200,27,50,0.54,24,44,0.545,3,6,0.5,14,19,0.737,71
50,3/29/13,Duke,N,Michigan State,W 71-61,200,20,49,0.408,13,31,0.419,7,18,0.389,24,26,0.923,71
51,3/22/13,Iona,N,Ohio State,L 70-95,200,23,65,0.354,17,37,0.459,6,28,0.214,18,21,0.857,70
52,3/22/13,San Diego State,N,Oklahoma,W 70-55,200,24,56,0.429,18,41,0.439,6,15,0.4,16,17,0.941,70
53,3/23/13,Gonzaga,N,Wichita State,L 70-76,200,21,59,0.356,13,36,0.361,8,23,0.348,20,29,0.69,70
54,3/23/13,Michigan State,N,Memphis,W 70-48,200,26,52,0.5,22,36,0.611,4,16,0.25,14,22,0.636,70
55,3/24/13,Kansas,N,UNC,W 70-58,200,24,55,0.436,19,41,0.463,5,14,0.357,17,21,0.81,70
56,3/28/13,Arizona,N,Ohio State,L 70-73,201,23,52,0.442,17,34,0.5,6,18,0.333,18,20,0.9,70
57,3/30/13,Wichita State,N,Ohio State,W 70-66,200,22,59,0.373,14,39,0.359,8,20,0.4,18,23,0.783,70
58,3/29/13,Oregon,N,Louisville,L 69-77,200,27,61,0.443,22,47,0.468,5,14,0.357,10,17,0.588,69
59,3/20/13,James Madison,N,LIU-Brooklyn,W 68-55,200,26,56,0.464,18,33,0.545,8,23,0.348,8,12,0.667,68
60,3/21/13,Butler,N,Bucknell,W 68-56,200,20,55,0.364,17,38,0.447,3,17,0.176,25,28,0.893,68
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
61,3/21/13,Harvard,N,New Mexico,W 68-62,200,22,42,0.524,14,24,0.583,8,18,0.444,16,20,0.8,68
62,3/21/13,Oregon,N,Oklahoma State,W 68-55,201,23,59,0.39,15,37,0.405,8,22,0.364,14,21,0.667,68
63,3/22/13,Georgetown,N,Fla. Gulf Coast,L 68-78,200,24,64,0.375,17,37,0.459,7,27,0.259,13,20,0.65,68
64,4/6/13,Wichita State,N,Louisville,L 68-72,200,22,54,0.407,16,34,0.471,6,20,0.3,18,24,0.75,68
65,3/19/13,Saint Mary's,N,Middle Tenn.,W 67-54,200,21,46,0.457,13,32,0.406,8,14,0.571,17,25,0.68,67
66,3/22/13,Creighton,N,Cincinnati,W 67-63,200,19,42,0.452,12,27,0.444,7,15,0.467,22,25,0.88,67
67,3/23/13,Syracuse,N,California,W 66-60,200,18,46,0.391,14,36,0.389,4,10,0.4,26,41,0.634,66
68,3/24/13,Duke,N,Creighton,W 66-50,200,19,49,0.388,12,29,0.414,7,20,0.35,21,28,0.75,66
69,3/30/13,Ohio State,N,Wichita State,L 66-70,200,19,61,0.311,14,36,0.389,5,25,0.2,23,29,0.793,66
70,3/21/13,Michigan State,N,Valparaiso,W 65-54,199,26,58,0.448,20,43,0.465,6,15,0.4,7,11,0.636,65
71,3/21/13,Belmont,N,Arizona,L 64-81,200,20,51,0.392,12,24,0.5,8,27,0.296,16,23,0.696,64
72,3/21/13,California,N,UNLV,W 64-61,200,26,59,0.441,21,48,0.438,5,11,0.455,7,16,0.438,64
73,3/21/13,Gonzaga,N,Southern,W 64-58,200,23,55,0.418,15,35,0.429,8,20,0.4,10,15,0.667,64
74,3/21/13,Saint Louis,N,New Mexico St.,W 64-44,200,25,54,0.463,21,43,0.488,4,11,0.364,10,14,0.714,64
75,3/22/13,Kansas,N,Western Ky.,W 64-57,200,20,42,0.476,20,36,0.556,0,6,0,24,30,0.8,64
76,3/24/13,Minnesota,N,Florida,L 64-78,200,20,50,0.4,12,32,0.375,8,18,0.444,16,22,0.727,64
77,3/22/13,Cincinnati,N,Creighton,L 63-67,200,27,64,0.422,22,44,0.5,5,20,0.25,4,9,0.444,63
78,3/22/13,La Salle,N,Kansas State,W 63-61,200,21,49,0.429,14,31,0.452,7,18,0.389,14,16,0.875,63
79,3/22/13,UCLA,N,Minnesota,L 63-83,200,20,63,0.317,16,41,0.39,4,22,0.182,19,25,0.76,63
80,3/24/13,Miami (FL),N,Illinois,W 63-59,200,22,55,0.4,13,30,0.433,9,25,0.36,10,15,0.667,63
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
81,3/31/13,Duke,N,Louisville,L 63-85,200,19,52,0.365,15,36,0.417,4,16,0.25,21,28,0.75,63
82,3/21/13,New Mexico,N,Harvard,L 62-68,200,21,56,0.375,18,42,0.429,3,14,0.214,17,24,0.708,62
83,3/22/13,James Madison,N,Indiana,L 62-83,200,26,62,0.419,18,42,0.429,8,20,0.4,2,4,0.5,62
84,3/29/13,Florida,N,Fla. Gulf Coast,W 62-50,200,22,57,0.386,18,42,0.429,4,15,0.267,14,23,0.609,62
85,3/21/13,UNLV,N,California,L 61-64,200,19,59,0.322,13,39,0.333,6,20,0.3,17,26,0.654,61
86,3/22/13,Albany (NY),N,Duke,L 61-73,200,19,52,0.365,10,37,0.27,9,15,0.6,14,16,0.875,61
87,3/22/13,Kansas State,N,La Salle,L 61-63,200,24,57,0.421,20,44,0.455,4,13,0.308,9,17,0.529,61
88,3/28/13,Syracuse,N,Indiana,W 61-50,199,21,48,0.438,17,38,0.447,4,10,0.4,15,20,0.75,61
89,3/28/13,Miami (FL),N,Marquette,L 61-71,200,22,63,0.349,14,37,0.378,8,26,0.308,9,12,0.75,61
90,3/29/13,Michigan State,N,Duke,L 61-71,200,20,50,0.4,17,38,0.447,3,12,0.25,18,24,0.75,61
91,4/6/13,Michigan,N,Syracuse,W 61-56,201,21,53,0.396,13,29,0.448,8,24,0.333,11,20,0.55,61
92,3/23/13,California,N,Syracuse,L 60-66,199,22,56,0.393,18,35,0.514,4,21,0.19,12,19,0.632,60
93,3/21/13,Marquette,N,Davidson,W 59-58,200,20,58,0.345,16,43,0.372,4,15,0.267,15,19,0.789,59
94,3/24/13,Illinois,N,Miami (FL),L 59-63,200,23,61,0.377,16,34,0.471,7,27,0.259,6,7,0.857,59
95,3/31/13,Florida,N,Michigan,L 59-79,200,23,56,0.411,21,46,0.457,2,10,0.2,11,17,0.647,59
96,3/21/13,Davidson,N,Marquette,L 58-59,200,19,46,0.413,13,29,0.448,6,17,0.353,14,22,0.636,58
97,3/21/13,Southern,N,Gonzaga,L 58-64,200,18,46,0.391,8,23,0.348,10,23,0.435,12,18,0.667,58
98,3/22/13,Notre Dame,N,Iowa State,L 58-76,199,22,51,0.431,18,34,0.529,4,17,0.235,10,13,0.769,58
99,3/24/13,Indiana,N,Temple,W 58-52,200,19,45,0.422,15,32,0.469,4,13,0.308,16,20,0.8,58
100,3/24/13,UNC,N,Kansas,L 58-70,200,22,73,0.301,16,52,0.308,6,21,0.286,8,10,0.8,58
101,3/28/13,La Salle,N,Wichita State,L 58-72,200,20,56,0.357,13,38,0.342,7,18,0.389,11,16,0.688,58
102,3/22/13,Illinois,N,Colorado,W 57-49,200,16,52,0.308,8,21,0.381,8,31,0.258,17,24,0.708,57
103,3/22/13,Western Ky.,N,Kansas,L 57-64,200,21,66,0.318,18,46,0.391,3,20,0.15,12,18,0.667,57
104,3/22/13,Ole Miss,N,Wisconsin,W 57-46,200,22,57,0.386,19,42,0.452,3,15,0.2,10,16,0.625,57
105,3/23/13,Saint Louis,N,Oregon,L 57-74,200,20,53,0.377,17,32,0.531,3,21,0.143,14,22,0.636,57
106,3/21/13,Bucknell,N,Butler,L 56-68,200,23,62,0.371,18,46,0.391,5,16,0.313,5,8,0.625,56
107,3/21/13,S Dakota St.,N,Michigan,L 56-71,200,23,52,0.442,19,33,0.576,4,19,0.211,6,8,0.75,56
108,3/23/13,Colorado State,N,Louisville,L 56-82,200,19,40,0.475,14,28,0.5,5,12,0.417,13,21,0.619,56
109,4/6/13,Syracuse,N,Michigan,L 56-61,201,23,55,0.418,20,41,0.488,3,14,0.214,7,11,0.636,56
110,3/20/13,LIU-Brooklyn,N,James Madison,L 55-68,200,21,59,0.356,18,43,0.419,3,16,0.188,10,14,0.714,55
111,3/21/13,Oklahoma State,N,Oregon,L 55-68,200,21,52,0.404,16,35,0.457,5,17,0.294,8,15,0.533,55
112,3/21/13,Pitt,N,Wichita State,L 55-73,200,19,54,0.352,18,37,0.486,1,17,0.059,16,20,0.8,55
113,3/22/13,Oklahoma,N,San Diego State,L 55-70,200,23,58,0.397,18,37,0.486,5,21,0.238,4,8,0.5,55
114,3/30/13,Syracuse,N,Marquette,W 55-39,200,19,50,0.38,14,33,0.424,5,17,0.294,12,19,0.632,55
115,3/19/13,Middle Tenn.,N,Saint Mary's,L 54-67,200,22,52,0.423,18,40,0.45,4,12,0.333,6,7,0.857,54
116,3/21/13,Memphis,N,Saint Mary's,W 54-52,201,20,49,0.408,15,34,0.441,5,15,0.333,9,18,0.5,54
117,3/21/13,Valparaiso,N,Michigan State,L 54-65,199,19,54,0.352,12,29,0.414,7,25,0.28,9,14,0.643,54
118,3/23/13,VCU,N,Michigan,L 53-78,200,23,58,0.397,20,42,0.476,3,16,0.188,4,6,0.667,53
119,3/21/13,Saint Mary's,N,Memphis,L 52-54,201,19,58,0.328,16,43,0.372,3,15,0.2,11,14,0.786,52
120,3/24/13,Temple,N,Indiana,L 52-58,200,21,62,0.339,18,38,0.474,3,24,0.125,7,8,0.875,52
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
121,3/23/13,Harvard,N,Arizona,L 51-74,200,16,58,0.276,11,40,0.275,5,18,0.278,14,19,0.737,51
122,3/24/13,Creighton,N,Duke,L 50-66,200,16,53,0.302,14,34,0.412,2,19,0.105,16,18,0.889,50
123,3/28/13,Indiana,N,Syracuse,L 50-61,203,16,47,0.34,13,32,0.406,3,15,0.2,15,24,0.625,50
124,3/29/13,Fla. Gulf Coast,N,Florida,L 50-62,200,20,44,0.455,16,33,0.485,4,11,0.364,6,11,0.545,50
125,3/22/13,Colorado,N,Illinois,L 49-57,200,17,51,0.333,12,32,0.375,5,19,0.263,10,13,0.769,49
