Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
45,3/19/17,USC,N,Baylor,L 78-82,200,30,55,0.545,21,33,0.636,9,22,0.409,9,10,0.9,78
46,3/16/17,VCU,N,Saint Mary's,L 77-85,200,29,65,0.446,27,52,0.519,2,13,0.154,17,26,0.654,77
47,3/17/17,Arkansas,N,Seton Hall,W 77-71,200,28,59,0.475,25,52,0.481,3,7,0.429,18,23,0.783,77
48,3/17/17,Iona,N,Oregon,L 77-93,200,28,64,0.438,18,38,0.474,10,26,0.385,11,16,0.688,77
49,3/26/17,South Carolina,N,Florida,W 77-70,200,26,53,0.491,24,43,0.558,2,10,0.2,23,31,0.742,77
50,4/1/17,Gonzaga,N,South Carolina,W 77-73,200,29,60,0.483,20,41,0.488,9,19,0.474,10,13,0.769,77
51,4/1/17,UNC,N,Oregon,W 77-76,200,25,68,0.368,17,47,0.362,8,21,0.381,19,27,0.704,77
52,3/16/17,Butler,N,Winthrop,W 76-64,200,24,49,0.49,16,30,0.533,8,19,0.421,20,30,0.667,76
53,3/16/17,Xavier,N,Maryland,W 76-65,200,25,50,0.5,16,27,0.593,9,23,0.391,17,24,0.708,76
54,3/16/17,Villanova,N,Mt. St. Mary's,W 76-56,200,31,60,0.517,25,43,0.581,6,17,0.353,8,11,0.727,76
55,3/16/17,Virginia,N,UNC Wilmington,W 76-71,200,26,52,0.5,19,35,0.543,7,17,0.412,17,25,0.68,76
56,3/18/17,Iowa State,N,Purdue,L 76-80,200,30,60,0.5,23,37,0.622,7,23,0.304,9,14,0.643,76
57,4/1/17,Oregon,N,UNC,L 76-77,200,22,58,0.379,15,32,0.469,7,26,0.269,25,28,0.893,76
58,3/15/17,USC,N,Providence,W 75-71,200,24,57,0.421,17,38,0.447,7,19,0.368,20,27,0.741,75
59,3/17/17,Cincinnati,N,Kansas State,W 75-61,200,27,43,0.628,22,32,0.688,5,11,0.455,16,22,0.727,75
60,3/19/17,Oregon,N,Rhode Island,W 75-72,200,25,52,0.481,18,36,0.5,7,16,0.438,18,27,0.667,75
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
61,3/24/17,UCLA,N,Kentucky,L 75-86,200,29,55,0.527,20,32,0.625,9,23,0.391,8,13,0.615,75
62,3/26/17,UNC,N,Kentucky,W 75-73,200,27,58,0.466,24,43,0.558,3,15,0.2,18,26,0.692,75
63,3/16/17,Virginia Tech,N,Wisconsin,L 74-84,200,23,49,0.469,16,32,0.5,7,17,0.412,21,26,0.808,74
64,3/18/17,Butler,N,Middle Tenn.,W 74-65,200,24,47,0.511,16,32,0.5,8,15,0.533,18,23,0.783,74
65,3/25/17,Oregon,N,Kansas,W 74-60,200,29,57,0.509,18,32,0.563,11,25,0.44,5,7,0.714,74
66,3/16/17,Nevada,N,Iowa State,L 73-84,200,26,65,0.4,18,39,0.462,8,26,0.308,13,16,0.813,73
67,3/17/17,New Mexico St.,N,Baylor,L 73-91,200,28,64,0.438,20,42,0.476,8,22,0.364,9,13,0.692,73
68,3/17/17,Marquette,N,South Carolina,L 73-93,200,25,54,0.463,14,26,0.538,11,28,0.393,12,14,0.857,73
69,3/18/17,Northwestern,N,Gonzaga,L 73-79,200,27,66,0.409,19,42,0.452,8,24,0.333,11,13,0.846,73
70,3/19/17,Michigan,N,Louisville,W 73-69,200,28,57,0.491,22,40,0.55,6,17,0.353,11,14,0.786,73
71,3/23/17,Xavier,N,Arizona,W 73-71,200,28,53,0.528,22,36,0.611,6,17,0.353,11,16,0.688,73
72,3/26/17,Kentucky,N,UNC,L 73-75,200,27,65,0.415,20,46,0.435,7,19,0.368,12,19,0.632,73
73,4/1/17,South Carolina,N,Gonzaga,L 73-77,200,25,66,0.379,18,46,0.391,7,20,0.35,16,22,0.727,73
74,3/16/17,Minnesota,N,Middle Tenn.,L 72-81,200,24,52,0.462,18,31,0.581,6,21,0.286,18,21,0.857,72
75,3/17/17,Creighton,N,Rhode Island,L 72-84,200,26,65,0.4,19,42,0.452,7,23,0.304,13,19,0.684,72
76,3/19/17,UNC,N,Arkansas,W 72-65,200,24,63,0.381,19,46,0.413,5,17,0.294,19,25,0.76,72
77,3/19/17,Rhode Island,N,Oregon,L 72-75,200,30,59,0.508,24,37,0.649,6,22,0.273,6,8,0.75,72
78,3/15/17,Providence,N,USC,L 71-75,200,25,51,0.49,16,31,0.516,9,20,0.45,12,17,0.706,71
79,3/16/17,UNC Wilmington,N,Virginia,L 71-76,200,25,61,0.41,15,35,0.429,10,26,0.385,11,17,0.647,71
80,3/17/17,Seton Hall,N,Arkansas,L 71-77,200,26,69,0.377,20,52,0.385,6,17,0.353,13,21,0.619,71
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
81,3/18/17,Notre Dame,N,West Virginia,L 71-83,200,22,54,0.407,12,26,0.462,10,28,0.357,17,17,1,71
82,3/23/17,Arizona,N,Xavier,L 71-73,200,27,62,0.435,20,35,0.571,7,27,0.259,10,11,0.909,71
83,4/3/17,UNC,N,Gonzaga,W 71-65,200,26,73,0.356,22,46,0.478,4,27,0.148,15,26,0.577,71
84,3/16/17,Vermont,N,Purdue,L 70-80,200,27,61,0.443,17,34,0.5,10,27,0.37,6,10,0.6,70
85,3/17/17,Northern Ky.,N,Kentucky,L 70-79,200,26,73,0.356,18,41,0.439,8,32,0.25,10,11,0.909,70
86,3/19/17,Michigan State,N,Kansas,L 70-90,200,25,57,0.439,17,34,0.5,8,23,0.348,12,17,0.706,70
87,3/24/17,South Carolina,N,Baylor,W 70-50,200,23,50,0.46,15,30,0.5,8,20,0.4,16,23,0.696,70
88,3/26/17,Florida,N,South Carolina,L 70-77,200,25,60,0.417,18,34,0.529,7,26,0.269,13,14,0.929,70
89,3/18/17,Arizona,N,Saint Mary's,W 69-60,200,23,51,0.451,19,40,0.475,4,11,0.364,19,23,0.826,69
90,3/19/17,Louisville,N,Michigan,L 69-73,200,28,61,0.459,23,41,0.561,5,20,0.25,8,12,0.667,69
91,3/23/17,Oregon,N,Michigan,W 69-68,200,26,58,0.448,18,41,0.439,8,17,0.471,9,16,0.563,69
92,3/16/17,Northwestern,N,Vanderbilt,W 68-66,200,26,53,0.491,20,39,0.513,6,14,0.429,10,18,0.556,68
93,3/23/17,Michigan,N,Oregon,L 68-69,200,25,58,0.431,14,27,0.519,11,31,0.355,7,7,1,68
94,3/14/17,Mt. St. Mary's,N,New Orleans,W 67-66,200,25,47,0.532,15,28,0.536,10,19,0.526,7,13,0.538,67
95,3/15/17,UC-Davis,N,N.C. Central,W 67-63,200,22,48,0.458,17,32,0.531,5,16,0.313,18,22,0.818,67
96,3/19/17,Cincinnati,N,UCLA,L 67-79,200,26,58,0.448,19,38,0.5,7,20,0.35,8,10,0.8,67
97,3/14/17,New Orleans,N,Mt. St. Mary's,L 66-67,200,29,54,0.537,28,45,0.622,1,9,0.111,7,12,0.583,66
98,3/16/17,Gonzaga,N,S Dakota St.,W 66-46,200,25,63,0.397,17,33,0.515,8,30,0.267,8,18,0.444,66
99,3/16/17,Vanderbilt,N,Northwestern,L 66-68,200,21,55,0.382,12,29,0.414,9,26,0.346,15,18,0.833,66
100,3/17/17,USC,N,SMU,W 66-65,200,24,50,0.48,16,22,0.727,8,28,0.286,10,14,0.714,66
101,3/18/17,Florida State,N,Xavier,L 66-91,200,24,60,0.4,20,39,0.513,4,21,0.19,14,19,0.737,66
102,3/23/17,Purdue,N,Kansas,L 66-98,200,24,56,0.429,14,29,0.483,10,27,0.37,8,12,0.667,66
103,3/16/17,ETSU,N,Florida,L 65-80,200,25,62,0.403,16,38,0.421,9,24,0.375,6,10,0.6,65
104,3/16/17,Maryland,N,Xavier,L 65-76,200,22,54,0.407,15,27,0.556,7,27,0.259,14,19,0.737,65
105,3/17/17,Troy,N,Duke,L 65-87,200,24,59,0.407,19,36,0.528,5,23,0.217,12,14,0.857,65
106,3/17/17,SMU,N,USC,L 65-66,200,24,57,0.421,15,34,0.441,9,23,0.391,8,11,0.727,65
107,3/18/17,Middle Tenn.,N,Butler,L 65-74,200,25,57,0.439,21,38,0.553,4,19,0.211,11,14,0.786,65
108,3/18/17,Florida,N,Virginia,W 65-39,200,23,50,0.46,15,29,0.517,8,21,0.381,11,18,0.611,65
109,3/18/17,Wisconsin,N,Villanova,W 65-62,200,26,49,0.531,20,31,0.645,6,18,0.333,7,16,0.438,65
110,3/19/17,Kentucky,N,Wichita State,W 65-62,200,23,55,0.418,16,37,0.432,7,18,0.389,12,18,0.667,65
111,3/19/17,Arkansas,N,UNC,L 65-72,200,26,60,0.433,18,39,0.462,8,21,0.381,5,8,0.625,65
112,4/3/17,Gonzaga,N,UNC,L 65-71,200,20,59,0.339,12,40,0.3,8,19,0.421,17,26,0.654,65
113,3/16/17,Winthrop,N,Butler,L 64-76,200,25,62,0.403,16,37,0.432,9,25,0.36,5,10,0.5,64
114,3/17/17,Wichita State,N,Dayton,W 64-58,200,19,48,0.396,13,28,0.464,6,20,0.3,20,27,0.741,64
115,3/17/17,Texas Southern,N,UNC,L 64-103,200,22,60,0.367,15,33,0.455,7,27,0.259,13,16,0.813,64
116,3/15/17,N.C. Central,N,UC-Davis,L 63-67,200,24,67,0.358,19,41,0.463,5,26,0.192,10,13,0.769,63
117,3/17/17,Jacksonville St.,N,Louisville,L 63-78,200,23,46,0.5,13,27,0.481,10,19,0.526,7,8,0.875,63
118,3/17/17,UC-Davis,N,Kansas,L 62-100,200,21,62,0.339,17,42,0.405,4,20,0.2,16,18,0.889,62
119,3/18/17,Villanova,N,Wisconsin,L 62-65,200,21,51,0.412,16,35,0.457,5,16,0.313,15,21,0.714,62
120,3/19/17,Wichita State,N,Kentucky,L 62-65,200,24,62,0.387,16,38,0.421,8,24,0.333,6,9,0.667,62
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
121,3/17/17,Kansas State,N,Cincinnati,L 61-75,200,21,54,0.389,14,36,0.389,7,18,0.389,12,15,0.8,61
122,3/23/17,Gonzaga,N,West Virginia,W 61-58,200,18,44,0.409,14,34,0.412,4,10,0.4,21,32,0.656,61
123,3/16/17,Notre Dame,N,Princeton,W 60-58,200,21,52,0.404,17,41,0.415,4,11,0.364,14,21,0.667,60
124,3/18/17,Saint Mary's,N,Arizona,L 60-69,200,25,54,0.463,20,33,0.606,5,21,0.238,5,8,0.625,60
125,3/25/17,Kansas,N,Oregon,L 60-74,200,21,60,0.35,16,35,0.457,5,25,0.2,13,17,0.765,60
126,3/25/17,Xavier,N,Gonzaga,L 59-83,200,22,62,0.355,20,46,0.435,2,16,0.125,13,22,0.591,59
127,3/16/17,Princeton,N,Notre Dame,L 58-60,200,22,57,0.386,14,26,0.538,8,31,0.258,6,6,1,58
128,3/17/17,Dayton,N,Wichita State,L 58-64,200,18,58,0.31,11,36,0.306,7,22,0.318,15,20,0.75,58
129,3/17/17,Miami (FL),N,Michigan State,L 58-78,200,21,52,0.404,17,36,0.472,4,16,0.25,12,17,0.706,58
130,3/23/17,West Virginia,N,Gonzaga,L 58-61,200,16,60,0.267,11,37,0.297,5,23,0.217,21,29,0.724,58
131,3/16/17,Mt. St. Mary's,N,Villanova,L 56-76,200,21,57,0.368,16,36,0.444,5,21,0.238,9,12,0.75,56
132,3/24/17,Baylor,N,South Carolina,L 50-70,200,17,56,0.304,14,43,0.326,3,13,0.231,13,20,0.65,50
133,3/16/17,S Dakota St.,N,Gonzaga,L 46-66,200,18,58,0.31,13,38,0.342,5,20,0.25,5,11,0.455,46
134,3/18/17,Virginia,N,Florida,L 39-65,200,16,54,0.296,15,39,0.385,1,15,0.067,6,7,0.857,39
