Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,11/8/13,Charleston So.,,Johnson,W 130-51,200,50,72,0.694,37,41,0.902,13,31,0.419,17,19,0.895,130
2,11/8/13,Utah,,Evergreen State,W 128-44,200,42,66,0.636,34,48,0.708,8,18,0.444,36,48,0.75,128
3,1/4/14,VMI,,Washington Col.,W 128-54,200,43,68,0.632,29,42,0.69,14,26,0.538,28,33,0.848,128
4,1/3/14,Central Mich.,,Marygrove,W 127-44,200,47,74,0.635,35,53,0.66,12,21,0.571,21,26,0.808,127
5,12/19/13,Elon,,Central Penn,W 126-78,200,51,87,0.586,42,60,0.7,9,27,0.333,15,18,0.833,126
6,1/4/14,Louisiana Tech,,Longwood,W 126-52,200,42,76,0.553,25,41,0.61,17,35,0.486,25,32,0.781,126
7,12/28/13,Utah,,St. Katherine,W 124-51,200,49,73,0.671,40,52,0.769,9,21,0.429,17,22,0.773,124
8,2/22/14,Abilene Christ.,,SW Adventist,W 124-57,200,49,79,0.62,28,45,0.622,21,34,0.618,5,8,0.625,124
9,11/13/13,Holy Cross,,Sacred Heart,W 122-118 (2OT),250,33,70,0.471,22,47,0.468,11,23,0.478,45,56,0.804,122
10,12/28/13,Charleston So.,,St. Andrews,W 122-40,200,38,57,0.667,18,24,0.75,20,33,0.606,26,34,0.765,122
11,11/16/13,VMI,,Bluefield State,W 121-80,200,38,81,0.469,21,45,0.467,17,36,0.472,28,35,0.8,121
12,12/17/13,Marshall,,Alice Lloyd,W 121-57,200,44,68,0.647,29,42,0.69,15,26,0.577,18,22,0.818,121
13,12/30/13,Central Ark.,,Ecclesia,W 121-77,200,50,89,0.562,45,68,0.662,5,21,0.238,16,26,0.615,121
14,12/19/13,Morehead State,,South Dakota,W 120-83,200,44,80,0.55,27,48,0.563,17,32,0.531,15,20,0.75,120
15,11/8/13,Chattanooga,,Covenant,W 119-56,200,42,75,0.56,36,56,0.643,6,19,0.316,29,37,0.784,119
16,11/12/13,Marshall,,Rio Grande,W 119-77,200,45,72,0.625,36,54,0.667,9,18,0.5,20,33,0.606,119
17,3/6/14,NW St.,,Central Ark.,W 119-102,200,40,67,0.597,30,51,0.588,10,16,0.625,29,40,0.725,119
18,11/11/13,SE Missouri St,,Central Baptist,W 118-55,200,45,81,0.556,28,46,0.609,17,35,0.486,11,15,0.733,118
19,11/13/13,Sacred Heart,@,Holy Cross,L 118-122 (2OT),250,38,76,0.5,28,50,0.56,10,26,0.385,32,38,0.842,118
20,12/14/13,Coastal Caro.,,Reinhardt,W 118-82,200,42,62,0.677,31,46,0.674,11,16,0.688,23,33,0.697,118
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,12/27/13,San Diego State,,St. Katherine,W 118-35,200,43,70,0.614,29,48,0.604,14,22,0.636,18,32,0.563,118
22,1/4/14,Iona,,Niagara,W 118-92,200,40,62,0.645,26,36,0.722,14,26,0.538,24,35,0.686,118
23,3/1/14,SE Missouri St,,Murray State,W 118-115 (2OT),250,44,78,0.564,36,57,0.632,8,21,0.381,22,29,0.759,118
24,11/8/13,Oklahoma State,,Miss Val St,W 117-62,200,38,62,0.613,26,41,0.634,12,21,0.571,29,41,0.707,117
25,11/29/13,Mercer,@,Valparaiso,W 117-108 (3OT),275,36,78,0.462,26,57,0.456,10,21,0.476,35,41,0.854,117
26,11/8/13,Boise State,,Texas-Arlington,W 116-87,200,41,71,0.577,28,45,0.622,13,26,0.5,21,28,0.75,116
27,11/11/13,Sam Houston St.,,Hillsdale Baptist/Randall (Ok.),W 116-54,200,45,79,0.57,28,48,0.583,17,31,0.548,9,15,0.6,116
28,11/25/13,Rutgers,,Stillman,W 116-89,200,41,68,0.603,30,46,0.652,11,22,0.5,23,30,0.767,116
29,12/14/13,NW St.,,Louisiana Col.,W 116-76,200,48,80,0.6,41,67,0.612,7,13,0.538,13,20,0.65,116
30,12/30/13,Southern,,Champion Baptist,W 116-12,200,46,78,0.59,40,62,0.645,6,16,0.375,18,33,0.545,116
31,3/14/14,Arkansas State,N,Little Rock,W 116-114 (4OT),300,35,79,0.443,22,51,0.431,13,28,0.464,33,47,0.702,116
32,11/13/13,Norfolk State,,Newberry,W 115-95,200,41,68,0.603,34,51,0.667,7,17,0.412,26,35,0.743,115
33,12/8/13,Oregon,@,Ole Miss,W 115-105 (OT),225,38,65,0.585,27,47,0.574,11,18,0.611,28,35,0.8,115
34,12/9/13,Middle Tenn.,,Fisk,W 115-65,200,42,68,0.618,35,46,0.761,7,22,0.318,24,37,0.649,115
35,3/1/14,Murray State,@,SE Missouri St,L 115-118 (2OT),250,35,73,0.479,21,43,0.488,14,30,0.467,31,39,0.795,115
36,11/8/13,Elon,,Wash. & Lee,W 114-64,200,41,57,0.719,29,36,0.806,12,21,0.571,20,23,0.87,114
37,11/12/13,Marquette,,Grambling,W 114-71,200,45,82,0.549,40,64,0.625,5,18,0.278,19,31,0.613,114
38,11/13/13,Eastern Ky.,,Warren Wilson,W 114-45,200,40,65,0.615,20,26,0.769,20,39,0.513,14,21,0.667,114
39,11/21/13,Hawaii,,Hawaii-Hilo,W 114-63,200,47,75,0.627,40,57,0.702,7,18,0.389,13,22,0.591,114
40,1/23/14,Portland,,BYU,W 114-110 (3OT),275,37,78,0.474,23,55,0.418,14,23,0.609,26,41,0.634,114
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,3/14/14,Little Rock,N,Arkansas State,L 114-116 (4OT),300,36,89,0.404,28,68,0.412,8,21,0.381,34,40,0.85,114
42,11/10/13,Valparaiso,,North Park,W 113-50,200,40,57,0.702,28,39,0.718,12,18,0.667,21,27,0.778,113
43,11/11/13,Texas Southern,,Wiley,W 113-96,200,38,69,0.551,27,42,0.643,11,27,0.407,26,30,0.867,113
44,11/26/13,Gonzaga,@,Chaminade,W 113-81,200,46,66,0.697,33,43,0.767,13,23,0.565,8,11,0.727,113
45,12/7/13,Louisville,,Louisiana,W 113-74,200,38,62,0.613,34,44,0.773,4,18,0.222,33,40,0.825,113
46,11/11/13,BYU,@,Stanford,W 112-103,200,38,71,0.535,30,56,0.536,8,15,0.533,28,43,0.651,112
47,11/20/13,VMI,,Bridgewater (VA),W 112-86,200,44,91,0.484,34,58,0.586,10,33,0.303,14,19,0.737,112
48,11/30/13,South Dakota,,Graceland (IA),W 112-85,200,42,73,0.575,29,44,0.659,13,29,0.448,15,27,0.556,112
49,12/19/13,Tennessee Tech,,Hillsdale Baptist/Randall (Ok.),W 112-56,200,40,83,0.482,31,60,0.517,9,23,0.391,23,32,0.719,112
