Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Unnamed: 0_level_1,Date,Schl,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1.0,2017-11-11,New Mexico,,N New Mexico,W 147-76,200,55,85,.647,37,46,.804,18,39,.462,19,22,.864,147
2.0,2017-11-11,App. St.,,Toccoa Falls,W 135-34,200,50,80,.625,30,41,.732,20,39,.513,15,27,.556,135
3.0,2017-11-14,Youngstown St.,,Franciscan,W 134-46,200,56,104,.538,47,71,.662,9,33,.273,13,14,.929,134
4.0,2017-11-12,Virginia Tech,,Citadel,W 132-93,200,48,70,.686,36,48,.750,12,22,.545,24,36,.667,132
5.0,2017-11-25,Detroit,,Siena Heights,W 131-69,200,51,86,.593,34,58,.586,17,28,.607,12,19,.632,131
6.0,2017-11-17,Nicholls State,,Spring Hill,W 127-83,200,44,76,.579,25,40,.625,19,36,.528,20,27,.741,127
7.0,2017-12-10,UT-Martin,,Cinci-Clermont,W 127-92,200,50,91,.549,35,56,.625,15,35,.429,12,16,.750,127
8.0,2017-12-17,William & Mary,,Milligan,W 126-69,200,43,66,.652,27,35,.771,16,31,.516,24,28,.857,126
9.0,2017-11-30,UTSA,,Ottawa,W 125-64,200,45,90,.500,33,64,.516,12,26,.462,23,29,.793,125
10.0,2017-12-02,Portland State,,Portland Bible,W 125-50,200,49,86,.570,36,51,.706,13,35,.371,14,15,.933,125
11.0,2017-12-05,Duke,,St. Francis (PA),W 124-67,200,48,80,.600,33,54,.611,15,26,.577,13,19,.684,124
12.0,2017-11-29,Miami (OH),,Midway,W 123-40,200,48,75,.640,31,42,.738,17,33,.515,10,17,.588,123
13.0,2017-11-10,North Texas,,Eureka,W 122-65,200,45,78,.577,33,47,.702,12,31,.387,20,29,.690,122
14.0,2017-11-12,Seattle,,Puget Sound,W 121-70,200,40,63,.635,32,38,.842,8,25,.320,33,35,.943,121
15.0,2018-02-24,Bethune-Cookman,,Savannah State,W 121-92,200,45,80,.563,29,47,.617,16,33,.485,15,21,.714,121
16.0,2017-11-10,Santa Clara,,La Verne,W 120-70,200,43,69,.623,33,42,.786,10,27,.370,24,29,.828,120
17.0,2017-11-16,Ga. Southern,,Bluefield State,W 120-52,200,37,84,.440,24,48,.500,13,36,.361,33,47,.702,120
18.0,2017-11-18,Gardner-Webb,,Warren Wilson,W 119-81,200,48,80,.600,34,45,.756,14,35,.400,9,15,.600,119
19.0,2017-11-24,Auburn,,Winthrop,W 119-85,200,42,68,.618,28,43,.651,14,25,.560,21,28,.750,119
20.0,2018-02-20,New Mexico,@,Wyoming,W 119-114,200,37,60,.617,24,33,.727,13,27,.481,32,43,.744,119
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21.0,2017-11-10,Murray State,,Brescia,W 118-61,200,40,58,.690,27,35,.771,13,23,.565,25,35,.714,118
22.0,2017-11-18,Stephen F. Austin,,Howard Payne,W 118-64,200,42,71,.592,33,52,.635,9,19,.474,25,34,.735,118
23.0,2017-12-17,Baylor,,Savannah State,W 118-86,200,41,69,.594,27,36,.750,14,33,.424,22,31,.710,118
24.0,2017-11-29,Hampton,,Mid-Atl Christian,W 117-54,200,44,76,.579,37,52,.712,7,24,.292,22,28,.786,117
25.0,2018-02-27,St. Bonaventure,,Davidson,W 117-113 (3OT),275,34,73,.466,20,38,.526,14,35,.400,35,47,.745,117
26.0,2017-11-10,Charlotte,,Methodist,W 116-76,200,42,67,.627,31,45,.689,11,22,.500,21,28,.750,116
27.0,2017-11-13,Florida,,Gardner-Webb,W 116-74,200,40,69,.580,25,40,.625,15,29,.517,21,27,.778,116
28.0,2017-11-19,Detroit,N,Houston Baptist,W 116-109 (OT),225,40,83,.482,28,40,.700,12,43,.279,24,30,.800,116
29.0,2017-11-21,Citadel,,Trinity Baptist,W 116-66,200,45,79,.570,31,46,.674,14,33,.424,12,18,.667,116
30.0,2017-11-22,NJIT,,Kean,W 116-63,200,44,65,.677,30,41,.732,14,24,.583,14,17,.824,116
