Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,1/3/13,Southern Miss,,Dillard,W 135-41,200,51,90,0.567,33,54,0.611,18,36,0.5,15,16,0.938,135
2,11/10/12,Northern Colo.,,Univ of the SW,W 127-81,200,47,66,0.712,36,46,0.783,11,20,0.55,22,32,0.688,127
3,12/5/12,Cal St Northridge,,Vanguard,W 120-69,200,45,67,0.672,35,51,0.686,10,16,0.625,20,25,0.8,120
4,12/11/12,Saint Mary's,,Jackson State,W 120-67,200,39,63,0.619,26,40,0.65,13,23,0.565,29,35,0.829,120
5,11/9/12,NW St.,,East Tx Baptist,W 118-77,200,48,76,0.632,38,52,0.731,10,24,0.417,12,21,0.571,118
6,2/20/13,Louisiana Tech,,Central Baptist,W 118-48,200,47,94,0.5,32,53,0.604,15,41,0.366,9,12,0.75,118
7,11/9/12,Xavier,,Fairl. Dickinson,W 117-75,200,43,61,0.705,30,40,0.75,13,21,0.619,18,21,0.857,117
8,11/13/12,VMI,,Central Penn,W 116-81,200,45,85,0.529,32,52,0.615,13,33,0.394,13,20,0.65,116
9,11/15/12,UC-Irvine,,Pacifica,W 116-47,200,42,68,0.618,30,47,0.638,12,21,0.571,20,29,0.69,116
10,12/30/12,Morehead State,,Union (KY),W 114-67,200,42,82,0.512,33,61,0.541,9,21,0.429,21,29,0.724,114
11,2/23/13,Cal St Bakersfield,,Pacifica,W 114-66,200,44,84,0.524,35,54,0.648,9,30,0.3,17,20,0.85,114
12,11/17/12,Cal St Fullerton,N,Southern Utah,W 112-69,200,37,57,0.649,25,40,0.625,12,17,0.706,26,35,0.743,112
13,11/18/12,Arkansas,,Longwood,W 112-63,200,43,82,0.524,38,61,0.623,5,21,0.238,21,32,0.656,112
14,11/21/12,UNC,@,Chaminade,W 112-70,200,43,69,0.623,30,42,0.714,13,27,0.481,13,21,0.619,112
15,12/18/12,Yale,,Albertus Magnus,W 112-63,200,42,65,0.646,32,47,0.681,10,18,0.556,18,26,0.692,112
16,2/23/13,Marist,,VMI,W 112-74,200,41,64,0.641,29,43,0.674,12,21,0.571,18,27,0.667,112
17,3/20/13,Baylor,,Long Beach St.,W 112-66,200,40,63,0.635,24,40,0.6,16,23,0.696,16,25,0.64,112
18,12/4/12,East Carolina,,St. Andrews,W 111-59,200,37,73,0.507,19,37,0.514,18,36,0.5,19,27,0.704,111
19,11/9/12,Weber State,,Arizona Christian,W 110-52,200,39,61,0.639,26,36,0.722,13,25,0.52,19,30,0.633,110
20,11/11/12,Tulsa,,Louisiana State-Shreveport,W 110-54,200,36,69,0.522,23,43,0.535,13,26,0.5,25,30,0.833,110
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
21,12/29/12,Weber State,,Univ of the SW,W 110-45,200,46,66,0.697,34,44,0.773,12,22,0.545,6,13,0.462,110
22,1/2/13,VMI,,Shenandoah,W 110-54,200,44,77,0.571,30,42,0.714,14,35,0.4,8,11,0.727,110
23,11/12/12,N.C. Central,,Johnson/Wales-NC,W 109-46,200,36,64,0.563,28,43,0.651,8,21,0.381,29,39,0.744,109
24,12/8/12,Florida A&M,,Allen,W 109-59,200,44,79,0.557,38,66,0.576,6,13,0.462,15,26,0.577,109
25,1/2/13,VCU,@,ETSU,W 109-58,200,40,73,0.548,24,39,0.615,16,34,0.471,13,22,0.591,109
26,11/9/12,Loyola Marymount,,Pacifica,W 108-49,200,45,78,0.577,38,62,0.613,7,16,0.438,11,21,0.524,108
27,11/13/12,Central Ark.,,Hendrix,W 108-65,200,43,78,0.551,31,56,0.554,12,22,0.545,10,23,0.435,108
28,11/28/12,Austin Peay,,Berea,W 108-53,200,38,67,0.567,26,41,0.634,12,26,0.462,20,27,0.741,108
29,12/8/12,Syracuse,,Monmouth,W 108-56,200,42,82,0.512,31,52,0.596,11,30,0.367,13,27,0.481,108
30,12/21/12,Chattanooga,,Reinhardt,W 108-78,200,42,74,0.568,39,61,0.639,3,13,0.231,21,30,0.7,108
31,1/30/13,NJIT,,Fisher College,W 108-69,200,38,66,0.576,23,41,0.561,15,25,0.6,17,22,0.773,108
32,2/25/13,Kansas,@,Iowa State,W 108-96 (OT),225,37,68,0.544,24,43,0.558,13,25,0.52,21,27,0.778,108
33,2/28/13,SE Missouri St,@,Austin Peay,W 108-81,200,40,60,0.667,20,27,0.741,20,33,0.606,8,10,0.8,108
34,11/10/12,Tennessee Tech,,Crowley's Ridge,W 107-32,200,40,65,0.615,28,39,0.718,12,26,0.462,15,19,0.789,107
35,12/7/12,Prairie View,,Dallas Christian,W 107-59,200,41,74,0.554,35,60,0.583,6,14,0.429,19,29,0.655,107
36,12/31/12,Central Ark.,,Central Baptist,W 107-82,200,41,76,0.539,31,52,0.596,10,24,0.417,15,22,0.682,107
37,1/10/13,Belmont,,SE Missouri St,W 107-72,200,40,65,0.615,29,42,0.69,11,23,0.478,16,27,0.593,107
38,1/19/13,Baylor,,Hardin-Simmons,W 107-38,200,40,74,0.541,30,53,0.566,10,21,0.476,17,30,0.567,107
39,11/10/12,Santa Clara,,Simpson (CA),W 106-66,200,39,78,0.5,25,44,0.568,14,34,0.412,14,27,0.519,106
40,11/19/12,Houston,,Louisiana Col.,W 106-59,200,39,77,0.506,32,61,0.525,7,16,0.438,21,39,0.538,106
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
41,11/23/12,Cal St Fullerton,,San Diego Christ,W 106-60,200,41,72,0.569,28,40,0.7,13,32,0.406,11,19,0.579,106
42,1/5/13,Boise State,,Walla Walla,W 106-39,200,39,62,0.629,27,36,0.75,12,26,0.462,16,22,0.727,106
43,2/20/13,Murray State,@,Morehead State,W 106-100 (2OT),250,32,64,0.5,22,37,0.595,10,27,0.37,32,46,0.696,106
44,2/28/13,Central Ark.,@,Lamar,W 106-99 (2OT),250,38,86,0.442,27,65,0.415,11,21,0.524,19,31,0.613,106
45,11/10/12,UAB,,Young Harris,W 105-59,200,37,69,0.536,26,48,0.542,11,21,0.524,20,24,0.833,105
46,11/15/12,Charleston So.,,Hiwassee,W 105-69,200,33,68,0.485,21,37,0.568,12,31,0.387,27,32,0.844,105
47,11/20/12,Creighton,,Longwood,W 105-57,199,35,54,0.648,28,39,0.718,7,15,0.467,28,38,0.737,105
48,12/29/12,Charleston So.,,Virginia Intermont,W 105-59,200,37,73,0.507,22,45,0.489,15,28,0.536,16,21,0.762,105
49,12/30/12,Boise State,,Corban,W 105-49,200,40,71,0.563,28,42,0.667,12,29,0.414,13,16,0.813,105
50,1/5/13,Cal St Fullerton,@,Cal St Northridge,W 105-86,200,34,58,0.586,22,35,0.629,12,23,0.522,25,31,0.806,105
51,1/31/13,Louisiana,,North Texas,W 105-74,200,38,71,0.535,27,49,0.551,11,22,0.5,18,23,0.783,105
52,2/7/13,Marist,@,Iona,W 105-104 (2OT),250,37,84,0.44,26,58,0.448,11,26,0.423,20,29,0.69,105
53,11/9/12,Utah,,Willamette,W 104-47,200,37,59,0.627,29,41,0.707,8,18,0.444,22,32,0.688,104
54,11/23/12,Kentucky,,LIU-Brooklyn,W 104-75,200,42,62,0.677,35,49,0.714,7,13,0.538,13,21,0.619,104
