Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
361,12/17/14,Omaha,,Northern Colo.,W 92-82,200,30,55,0.545,21,36,0.583,9,19,0.474,23,29,0.793,92
362,12/19/14,Minnesota,,Seattle,W 92-57,200,33,60,0.55,24,35,0.686,9,25,0.36,17,23,0.739,92
363,12/19/14,Youngstown St.,,Wilberforce,W 92-71,200,38,72,0.528,32,54,0.593,6,18,0.333,10,17,0.588,92
364,12/20/14,Akron,,Bluffton,W 92-53,200,37,66,0.561,29,45,0.644,8,21,0.381,10,17,0.588,92
365,12/23/14,Villanova,,NJIT,W 92-67,200,26,48,0.542,18,30,0.6,8,18,0.444,32,44,0.727,92
366,12/28/14,NW St.,@,Arkansas,L 92-100,200,36,70,0.514,31,59,0.525,5,11,0.455,15,18,0.833,92
367,12/30/14,Baylor,,Norfolk State,W 92-51,200,34,68,0.5,26,49,0.531,8,19,0.421,16,24,0.667,92
368,12/31/14,Lafayette,@,Army,W 92-78,200,33,61,0.541,23,44,0.523,10,17,0.588,16,23,0.696,92
369,12/31/14,UNC Greensboro,,Mars Hill,W 92-48,200,35,69,0.507,27,50,0.54,8,19,0.421,14,19,0.737,92
370,1/3/15,Buffalo,,Cornell,W 92-73,200,29,57,0.509,18,35,0.514,11,22,0.5,23,30,0.767,92
371,1/3/15,Kennesaw State,,Thomas University,W 92-66,200,36,64,0.563,27,45,0.6,9,19,0.474,11,14,0.786,92
372,1/3/15,Ole Miss,,Austin Peay,W 92-63,200,34,62,0.548,23,41,0.561,11,21,0.524,13,17,0.765,92
373,1/10/15,Colorado State,@,Air Force,W 92-87,200,30,57,0.526,22,31,0.71,8,26,0.308,24,36,0.667,92
374,1/15/15,Murray State,,Belmont,W 92-77,200,33,59,0.559,22,35,0.629,11,24,0.458,15,17,0.882,92
375,1/15/15,Eastern Wash.,@,Portland State,W 92-85,200,32,64,0.5,19,36,0.528,13,28,0.464,15,18,0.833,92
376,1/24/15,Bucknell,@,Boston U.,W 92-77,200,32,57,0.561,19,37,0.514,13,20,0.65,15,16,0.938,92
377,1/31/15,Md.-East. Shore,,Coppin State,W 92-82,200,28,54,0.519,17,36,0.472,11,18,0.611,25,44,0.568,92
378,2/3/15,Wisconsin,,Indiana,W 92-78,200,29,48,0.604,23,37,0.622,6,11,0.545,28,31,0.903,92
379,2/9/15,UNC Asheville,@,Gardner-Webb,W 92-89,200,37,59,0.627,30,41,0.732,7,18,0.389,11,15,0.733,92
380,2/10/15,Toledo,@,Buffalo,W 92-88,200,33,52,0.635,21,38,0.553,12,14,0.857,14,18,0.778,92
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
381,2/11/15,Davidson,,George Mason,W 92-71,200,27,56,0.482,15,25,0.6,12,31,0.387,26,32,0.813,92
382,2/14/15,SE Missouri St,,Murray State,L 92-94 (OT),225,28,56,0.5,22,40,0.55,6,16,0.375,30,40,0.75,92
383,2/16/15,Delaware State,,Coppin State,L 92-96,200,33,88,0.375,25,62,0.403,8,26,0.308,18,24,0.75,92
384,2/18/15,Duke,,UNC,W 92-90 (OT),225,33,65,0.508,23,49,0.469,10,16,0.625,16,31,0.516,92
385,2/26/15,Little Rock,,Georgia State,W 92-83,200,31,62,0.5,17,32,0.531,14,30,0.467,16,25,0.64,92
386,2/26/15,Eastern Wash.,,Montana State,W 92-68,200,31,59,0.525,23,38,0.605,8,21,0.381,22,32,0.688,92
387,2/26/15,Idaho,,Montana,W 92-87 (2OT),250,30,65,0.462,23,41,0.561,7,24,0.292,25,31,0.806,92
388,2/26/15,Purdue,,Rutgers,W 92-85,200,31,56,0.554,24,41,0.585,7,15,0.467,23,36,0.639,92
389,2/28/15,St. Bonaventure,,Duquesne,W 92-75,200,26,57,0.456,15,33,0.455,11,24,0.458,29,41,0.707,92
390,3/2/15,NW St.,,Southeastern LA,W 92-79,200,32,70,0.457,16,36,0.444,16,34,0.471,12,12,1,92
391,3/5/15,Coppin State,,Delaware State,L 92-104,200,32,70,0.457,19,41,0.463,13,29,0.448,15,22,0.682,92
392,3/5/15,Stephen F. Austin,,NW St.,W 92-66,200,32,57,0.561,20,38,0.526,12,19,0.632,16,25,0.64,92
393,3/8/15,William & Mary,N,Hofstra,W 92-91 (2OT),250,28,57,0.491,16,29,0.552,12,28,0.429,24,35,0.686,92
394,3/20/15,Vanderbilt,,S Dakota St.,W 92-77,200,28,48,0.583,16,27,0.593,12,21,0.571,24,34,0.706,92
395,3/21/15,UCLA,N,UAB,W 92-75,200,35,58,0.603,30,49,0.612,5,9,0.556,17,25,0.68,92
396,11/14/14,California,,Alcorn State,W 91-57,200,37,71,0.521,27,47,0.574,10,24,0.417,7,13,0.538,91
397,11/14/14,Lipscomb,,Berry,W 91-70,200,29,72,0.403,18,38,0.474,11,34,0.324,22,35,0.629,91
398,11/14/14,N.C. A&T,,Greensboro,W 91-61,200,34,65,0.523,31,53,0.585,3,12,0.25,20,28,0.714,91
399,11/15/14,Bethune-Cookman,,Trinity (TX),W 91-69,200,27,59,0.458,19,36,0.528,8,23,0.348,29,35,0.829,91
400,11/15/14,Duquesne,,Bluefield State,W 91-51,200,35,64,0.547,21,39,0.538,14,25,0.56,7,16,0.438,91
401,11/16/14,San Francisco,,SC St.,W 91-52,200,36,62,0.581,24,37,0.649,12,25,0.48,7,15,0.467,91
