Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
390,12/22/11,Colorado State,@,Northern Colo.,W 92-78,200,29,49,0.592,16,25,0.64,13,24,0.542,21,28,0.75,92
391,12/27/11,Georgia,,Winthrop,W 92-86 (OT),225,31,57,0.544,23,36,0.639,8,21,0.381,22,30,0.733,92
392,12/28/11,Colorado,,New Orleans,W 92-34,200,32,58,0.552,27,44,0.614,5,14,0.357,23,26,0.885,92
393,12/28/11,Niagara,,UMBC,W 92-75,200,29,64,0.453,16,37,0.432,13,27,0.481,21,27,0.778,92
394,12/29/11,Oregon,@,Washington St.,W 92-75,200,34,49,0.694,25,33,0.758,9,16,0.563,15,25,0.6,92
395,12/31/11,UAB,,Alabama A&M,W 92-58,200,30,48,0.625,19,30,0.633,11,18,0.611,21,27,0.778,92
396,1/5/12,Davidson,@,UNC Greensboro,W 92-63,200,30,59,0.508,20,34,0.588,10,25,0.4,22,27,0.815,92
397,1/5/12,Oregon State,,California,W 92-85,200,31,49,0.633,20,31,0.645,11,18,0.611,19,25,0.76,92
398,1/5/12,Tennessee Tech,,Tennessee State,W 92-86,200,31,53,0.585,22,39,0.564,9,14,0.643,21,25,0.84,92
399,1/7/12,Creighton,@,Bradley,W 92-83,200,33,54,0.611,23,34,0.676,10,20,0.5,16,19,0.842,92
400,1/14/12,Kent State,,Bowling Green,W 92-87,200,33,63,0.524,27,49,0.551,6,14,0.429,20,29,0.69,92
401,1/16/12,Kansas,,Baylor,W 92-74,200,35,61,0.574,29,50,0.58,6,11,0.545,16,21,0.762,92
402,1/20/12,Fla. Gulf Coast,@,Stetson,W 92-85,200,33,51,0.647,24,29,0.828,9,22,0.409,17,22,0.773,92
403,1/21/12,Cal St Fullerton,@,UC-Irvine,W 92-84,200,27,52,0.519,14,32,0.438,13,20,0.65,25,33,0.758,92
404,1/21/12,Lamar,@,Central Ark.,W 92-78,200,35,60,0.583,32,50,0.64,3,10,0.3,19,27,0.704,92
405,1/23/12,Coppin State,,N.C. A&T,L 92-93 (OT),225,31,71,0.437,16,32,0.5,15,39,0.385,15,17,0.882,92
