Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Bradley,33,20,13,0.606,2.08,0.36,9,9,13,2,4,9,2223,2136,66.3,97.7,0.355,0.417,0.517,48.2,60.1,9.6,7.4,0.474,17.8,28.5,0.261
31,Brigham Young,35,24,11,0.686,8.04,1.53,11,7,13,3,7,6,2600,2372,67.9,98.7,0.284,0.382,0.534,49,51.7,8.8,8,0.513,16.7,22.5,0.187
32,Brown,27,11,16,0.407,-7.78,-4.67,4,10,8,5,3,11,2080,2133,72.7,106.7,0.405,0.358,0.574,49.3,49.4,9.1,12.1,0.541,17.3,26.7,0.286
33,Bryant,31,3,28,0.097,-18.75,-5.43,2,16,1,11,2,17,2169,2582,71,116.9,0.33,0.407,0.598,55.3,54.3,9.1,11.7,0.576,15.4,34,0.231
34,Bucknell,35,25,10,0.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,72.4,99.5,0.345,0.317,0.514,49.2,49.2,9,9.3,0.478,15,27.3,0.24
35,Buffalo,36,27,9,0.75,7.99,0.25,15,3,14,1,8,5,3047,2742,73.9,102,0.395,0.334,0.53,48.6,44.3,7.7,9.7,0.484,16.1,28.8,0.29
36,Butler,35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,69.7,102,0.353,0.376,0.557,48.7,50.2,7.2,8.9,0.519,17.5,24,0.262
37,Cal Poly,31,9,22,0.29,-11.55,-1.83,4,12,7,6,1,13,2082,2302,66.6,108.8,0.331,0.332,0.556,52.5,54.9,8.6,10.4,0.52,14.3,29.2,0.247
38,Cal State Bakersfield,30,12,18,0.4,-6.58,-0.73,5,9,8,4,3,12,1981,2068,67.5,102.2,0.416,0.434,0.541,48.6,57.7,8.9,7.8,0.502,17.5,28.6,0.292
39,Cal State Fullerton,32,20,12,0.625,-0.92,-1.02,10,6,9,4,7,7,2318,2245,70,99.4,0.348,0.341,0.518,48.9,51.6,8,9.3,0.472,16,27.4,0.263
40,Cal State Northridge,30,6,24,0.2,-13.51,-3.55,3,13,4,9,2,13,1983,2206,66.5,109.3,0.329,0.315,0.553,54,53.4,8.7,9.4,0.52,14.3,31.8,0.238
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,UC-Davis,33,22,11,0.667,0.94,-1.84,12,4,10,2,9,7,2388,2241,67.3,97.9,0.364,0.378,0.529,51.6,54.6,9,9.3,0.486,19.3,29.3,0.268
42,UC-Irvine,35,18,17,0.514,-0.21,-0.33,11,5,7,5,7,10,2440,2350,68.5,97.3,0.4,0.348,0.492,45,51,7.9,6.8,0.446,13.3,24.5,0.279
43,UC-Riverside,31,9,22,0.29,-8.5,-1.53,4,12,6,8,3,13,2024,2163,69.8,99.6,0.373,0.398,0.517,52.3,55.6,9.6,8.8,0.479,17.1,31.1,0.259
44,UC-Santa Barbara,32,23,9,0.719,2.1,-3.36,11,5,12,2,9,6,2425,2211,68.1,101.1,0.289,0.355,0.522,47.9,55.2,5.3,6.7,0.492,14.8,25.8,0.202
45,University of California,32,8,24,0.25,-3.4,6.06,2,16,5,12,3,8,2166,2483,70.6,109.6,0.381,0.391,0.582,49.5,60.3,8.5,9.3,0.55,17.2,30.7,0.275
46,Campbell,34,18,16,0.529,-5.68,-6.68,10,8,14,4,4,11,2581,2412,68.6,102.6,0.327,0.359,0.54,51.5,49.4,8.9,8.7,0.506,16,26.5,0.235
47,Canisius,33,21,12,0.636,0.44,-4.8,15,3,11,3,8,8,2519,2346,69.9,101.3,0.376,0.353,0.545,50.5,47.2,7.5,7.9,0.505,18.9,30.4,0.276
48,Central Arkansas,35,18,17,0.514,-5.83,-5.97,10,8,9,5,8,11,2819,2766,74.4,104.3,0.382,0.321,0.536,52.5,51.3,9.5,7.9,0.504,16.5,32.7,0.258
49,Central Connecticut State,32,14,18,0.438,-11.62,-7.59,7,11,8,4,6,14,2171,2300,66.3,106.3,0.301,0.408,0.541,47.7,52.1,10.1,6.8,0.513,14.5,28.3,0.211
