Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Bradley,34,20,14,0.588,-0.29,-1.47,9,9,10,6,5,8,2264,2209,66.1,100.4,0.359,0.347,0.531,50.9,51.9,8.1,11.6,0.497,16.8,27.4,0.249
31,Brigham Young,32,19,13,0.594,6.39,3.54,11,5,13,3,5,8,2527,2436,71.9,108.5,0.4,0.364,0.566,49,54.9,8.7,8.8,0.528,13.7,23.6,0.29
32,Brown,30,19,11,0.633,-0.17,-3.49,7,7,12,3,7,8,2209,2045,72.7,100.5,0.379,0.4,0.546,50.3,50.7,10.4,11,0.51,17.4,24.1,0.268
33,Bryant,30,10,20,0.333,-14.88,-7.34,7,11,8,6,2,13,2088,2314,69.2,100.6,0.368,0.421,0.529,47.3,45,7.6,7.5,0.49,16.3,26.7,0.262
34,Bucknell,33,21,12,0.636,0.75,-2.77,13,5,12,3,7,8,2534,2418,71.4,107.2,0.339,0.459,0.566,49.8,59.9,7.3,8.9,0.53,15.5,25.5,0.254
35,Buffalo,34,31,3,0.912,15.99,2.17,16,2,14,0,12,3,2888,2398,74.7,113.2,0.322,0.434,0.561,52.5,55.5,9.8,10.5,0.536,13.5,31.8,0.223
36,Butler,32,16,16,0.5,9.77,8.49,7,11,12,4,2,9,2298,2257,67.2,106,0.251,0.426,0.547,48.5,50.1,8.7,5.8,0.519,14.3,25.6,0.185
37,Cal Poly,29,6,23,0.207,-13.72,-3.31,2,14,4,8,1,14,1930,2183,66.8,97.5,0.264,0.401,0.5,46.8,42.6,7.4,8.9,0.477,14.8,26.1,0.171
38,Cal State Bakersfield,31,16,15,0.516,-4.69,-2.08,7,9,9,4,5,9,2211,2207,67.5,104.4,0.298,0.336,0.511,53.5,44.3,9.7,10.7,0.484,15.9,38.1,0.199
39,Cal State Fullerton,33,16,17,0.485,-2.77,-0.81,10,6,9,3,4,11,2379,2348,70.4,100.5,0.38,0.306,0.541,50.4,46.7,8.2,8.6,0.506,16.6,24,0.267
40,Cal State Northridge,34,13,21,0.382,-6.33,-3.18,7,9,7,9,4,10,2601,2701,72.1,105,0.321,0.308,0.536,47.9,52.9,9.1,11.3,0.516,14.5,27.7,0.205
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,California Baptist,30,16,14,0.533,-3.8,-4.07,7,9,8,6,8,6,2348,2185,70.3,109.5,0.307,0.43,0.565,52,41.5,6.8,7,0.527,14.9,28.3,0.24
42,UC-Davis,31,11,20,0.355,-6,-1.24,7,9,7,6,3,12,2038,2128,67,96.5,0.308,0.37,0.531,46.5,51,9.3,7,0.5,17.7,21.5,0.218
43,UC-Irvine,35,30,5,0.857,5.85,-3,15,1,12,2,13,2,2551,2216,66.3,108.4,0.295,0.321,0.544,55.1,49,8.5,11.1,0.517,14.9,34.3,0.206
44,UC-Riverside,33,10,23,0.303,-10.87,-2.94,4,12,7,7,2,14,2153,2279,64.4,100.9,0.236,0.415,0.542,50.5,53.7,7.7,5.4,0.522,17.6,26.6,0.161
45,UC-Santa Barbara,32,22,10,0.688,-1.43,-5.36,10,6,12,3,7,6,2350,2114,66,110.4,0.381,0.327,0.547,54.8,52.2,7.5,9.2,0.51,14.2,34.8,0.273
46,University of California,31,8,23,0.258,-3.09,5.49,3,15,7,9,1,10,2121,2387,68.5,99.5,0.348,0.341,0.525,44.6,45.3,10.7,9.9,0.486,14.8,23.3,0.251
47,Campbell,33,20,13,0.606,-3.75,-4.52,12,4,12,4,5,7,2495,2328,68,110.7,0.31,0.478,0.57,47.8,55.6,9.7,9.9,0.537,13.4,23.8,0.235
48,Canisius,32,15,17,0.469,-8.6,-4.67,11,7,5,8,9,5,2250,2376,68.5,101.4,0.314,0.431,0.534,47.3,58.4,9.2,9.7,0.505,16.4,27.1,0.217
49,Central Arkansas,33,14,19,0.424,-11.03,-4.46,8,10,8,5,5,13,2383,2498,72,99.5,0.35,0.412,0.537,48.2,57.2,8.4,10.1,0.498,17.7,25.1,0.256
50,Central Connecticut State,31,11,20,0.355,-13.69,-6.38,5,13,5,7,5,12,2205,2367,70.4,99.4,0.348,0.336,0.52,50.1,46.8,7.8,10.9,0.469,16.8,29.9,0.272
51,Central Florida,31,23,8,0.742,12.48,4.64,13,5,15,2,5,5,2236,1993,67.2,107,0.464,0.361,0.554,51.5,53.7,8.5,12.4,0.527,15.4,29.3,0.3
52,Central Michigan,34,23,11,0.676,3.43,-0.24,10,8,13,4,7,5,2810,2590,73.3,110.7,0.42,0.375,0.554,49.8,46.7,10.2,7.5,0.523,14,31.8,0.283
53,Charleston Southern,32,17,15,0.531,-2.28,-4.31,9,7,11,4,4,10,2439,2230,71.9,105.3,0.277,0.443,0.53,50.9,52.7,10.9,10.1,0.507,15.3,31.3,0.187
54,Charlotte,29,8,21,0.276,-8.12,-0.67,5,13,5,9,3,9,1776,1992,65.8,93,0.364,0.427,0.525,48.3,48.2,7.2,11.1,0.481,19.8,21.9,0.27
55,Chattanooga,32,12,20,0.375,-7.49,-0.39,7,11,8,6,4,11,2268,2376,69.5,101.6,0.243,0.423,0.54,48.6,50.3,6.2,6.4,0.52,16.3,24.4,0.166
56,Chicago State,32,3,29,0.094,-24.43,1.07,0,16,3,8,0,19,1970,2710,72,85.5,0.333,0.268,0.486,44.5,51.9,8.4,6.4,0.451,20.2,22.2,0.225
57,Cincinnati,34,28,6,0.824,14.6,5.1,14,4,16,2,7,4,2438,2115,64.9,109.7,0.381,0.331,0.529,53.9,54.1,9.4,14.7,0.49,13.4,37.2,0.268
58,Citadel,30,12,18,0.4,-7.72,0.24,4,14,8,7,4,10,2553,2584,76.7,110,0.26,0.535,0.565,47.7,51.5,8.7,10.6,0.539,14.6,27,0.192
59,Clemson,33,20,13,0.606,14.85,9.61,9,9,13,4,4,6,2284,2111,67.3,102.9,0.328,0.359,0.548,52.7,49.4,9.6,13.6,0.513,17.4,28,0.24
60,Cleveland State,31,10,21,0.323,-7.88,-1.43,5,13,8,9,2,12,2300,2437,71.4,103.1,0.319,0.447,0.545,47.5,57.6,7.8,8.3,0.518,16.3,26.7,0.218
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Coastal Carolina,31,15,16,0.484,-1.17,-2,9,9,9,4,5,10,2364,2265,70.7,107.1,0.409,0.384,0.559,52.8,50.9,8.9,8,0.52,17.3,32.1,0.294
62,Colgate,34,24,10,0.706,1.02,-4.41,13,5,15,1,9,9,2578,2381,67.9,110.5,0.287,0.405,0.585,53,57.1,9,10.2,0.558,16.7,29.6,0.213
63,College of Charleston,33,24,9,0.727,2.71,-2.6,12,6,13,2,8,5,2453,2265,66.3,111.3,0.338,0.367,0.581,50.4,44.1,9.8,7.3,0.545,14.1,25.4,0.259
64,Colorado State,32,12,20,0.375,0.19,1.71,7,11,8,9,3,8,2393,2406,68.9,108.1,0.318,0.397,0.572,49.8,54.5,9,6.6,0.548,15.1,24.5,0.221
65,Colorado,34,22,12,0.647,10.01,3.65,10,8,13,2,5,8,2517,2301,69.4,106.3,0.372,0.35,0.555,54.8,51.4,7.3,8.4,0.513,16.6,31.2,0.28
66,Columbia,28,10,18,0.357,-5.01,-1.97,5,9,5,7,4,9,2059,2052,69.4,102.3,0.22,0.381,0.542,49.7,56.9,10.8,8.3,0.521,16.1,25.6,0.155
67,Connecticut,33,16,17,0.485,6.7,4.21,6,12,13,5,1,8,2436,2354,69.7,105.5,0.327,0.374,0.538,50.7,48.3,8.7,11.9,0.51,15.9,32.3,0.223
68,Coppin State,33,8,25,0.242,-18.76,-6.97,7,9,3,7,4,16,2118,2507,71.9,88.5,0.377,0.46,0.492,48.8,45.9,7.1,9.5,0.454,20.5,25.5,0.251
69,Cornell,31,15,16,0.484,-6,-1.9,7,7,9,4,6,11,2149,2211,69.6,97.9,0.323,0.429,0.546,46.7,60.1,8.2,8.6,0.513,17.4,18.3,0.233
70,Creighton,33,19,14,0.576,12.56,8.91,9,9,11,6,4,7,2590,2423,70.1,110.3,0.285,0.472,0.592,50,56.7,9.5,7.1,0.575,16.6,24.7,0.196
71,Dartmouth,30,11,19,0.367,-5.61,-2.86,2,12,8,6,2,12,2160,2116,68.3,104.6,0.249,0.411,0.553,50.3,52.5,7.7,8.5,0.528,15.6,24.3,0.18
72,Davidson,34,24,10,0.706,6.63,2.2,14,4,14,1,7,5,2409,2229,66.1,106.8,0.277,0.466,0.562,50.9,58.6,7.8,7.7,0.532,15,23.8,0.208
73,Dayton,33,21,12,0.636,9.91,3.16,13,5,13,4,7,3,2406,2183,66.2,108.9,0.321,0.345,0.583,52,60,7.4,7,0.561,16.7,26.4,0.222
74,Delaware State,31,6,25,0.194,-26.8,-10.11,2,14,3,9,2,15,1956,2371,72.6,86.9,0.249,0.402,0.446,46.7,47.9,9.5,5.9,0.414,16.5,28.1,0.169
75,Delaware,33,17,16,0.515,-7.56,-4.46,8,10,9,7,7,8,2352,2380,64.7,106.9,0.312,0.413,0.567,48.8,51.2,6.8,6.5,0.537,15.4,23.8,0.227
76,Denver,30,8,22,0.267,-11.69,-2.82,3,13,6,7,1,14,2086,2319,69.1,100.3,0.267,0.361,0.537,51.5,46.9,6.8,7.9,0.504,17.4,26.7,0.203
77,DePaul,30,15,15,0.5,6.82,5.05,7,11,12,6,3,8,2306,2253,71,107.8,0.354,0.332,0.557,54.1,53,8.9,8.7,0.524,16.7,32.8,0.253
78,Detroit Mercy,31,11,20,0.355,-6.25,-0.29,8,10,6,6,4,14,2279,2464,70.4,104.3,0.31,0.44,0.53,45.7,40.7,10.9,7,0.497,14.2,28.8,0.222
79,Drake,33,24,9,0.727,3.29,-0.23,12,6,13,2,7,5,2490,2307,69.4,107.1,0.325,0.401,0.577,51.4,57.7,7.5,10,0.544,16.8,25.3,0.245
80,Drexel,32,13,19,0.406,-6.68,-2.59,7,11,9,7,3,11,2425,2475,70,108.3,0.307,0.352,0.557,51.9,53.1,6.4,4.9,0.522,14.8,29,0.232
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Duke,34,29,5,0.853,28.34,12.4,14,4,15,2,7,2,2839,2297,73.7,112.9,0.346,0.376,0.561,53.9,52.2,12.8,16.4,0.534,15,36.1,0.238
82,Duquesne,32,19,13,0.594,0.72,-0.44,10,8,14,4,4,6,2351,2314,70.5,103,0.35,0.444,0.532,48.2,54.7,11,12.1,0.499,16.9,31.6,0.243
83,East Carolina,31,10,21,0.323,-5.63,1.18,3,15,8,9,1,11,2088,2299,69.9,95.2,0.356,0.304,0.499,47.9,51,10.2,10,0.461,16.6,27.9,0.243
84,East Tennessee State,33,24,9,0.727,5.99,-1.5,13,5,13,2,8,6,2613,2269,70,111.8,0.308,0.362,0.57,57.5,52.8,10.5,11.9,0.55,17,37.8,0.205
85,Eastern Illinois,32,14,18,0.438,-11.77,-4.96,7,11,7,6,5,10,2299,2457,69,101.7,0.285,0.384,0.53,49.2,52.5,8.8,10.7,0.503,16.4,29.3,0.196
86,Eastern Kentucky,31,13,18,0.419,-7.33,-2.4,6,12,9,5,3,11,2562,2577,79.9,101.3,0.321,0.392,0.523,47.5,50.8,12.5,8,0.488,15.4,27.7,0.229
87,Eastern Michigan,32,15,17,0.469,0.8,4.83,9,9,11,7,4,10,2203,2213,66.5,102.3,0.332,0.348,0.522,51,45.1,11,13.5,0.5,17.3,35.6,0.209
88,Eastern Washington,34,16,18,0.471,-6.81,-4.21,12,8,9,4,4,13,2460,2527,69.5,102.6,0.268,0.434,0.535,49.9,53.3,8.3,8.6,0.505,14.8,24.4,0.195
89,Elon,32,11,21,0.344,-11.12,-3.15,7,11,5,11,6,7,2266,2445,69,101.9,0.238,0.506,0.547,48,57.6,6.1,5.1,0.527,16.6,23.6,0.165
90,Evansville,32,11,21,0.344,-3.7,0.26,5,13,9,7,2,13,2234,2317,70.8,97.5,0.372,0.437,0.535,47.3,52.7,8.1,7.1,0.495,16.6,18.9,0.268
91,Fairfield,31,9,22,0.29,-10.11,-7.04,6,12,5,7,3,13,2072,2167,68.1,98.1,0.239,0.422,0.53,47.6,52.7,9.6,6,0.507,18.2,25.8,0.166
92,Fairleigh Dickinson,34,21,13,0.618,-5.66,-8.04,12,6,13,4,7,9,2571,2428,68.7,108.5,0.36,0.345,0.581,49.7,52.8,10.7,10.6,0.549,17.2,29.2,0.263
93,Florida A&M,31,12,19,0.387,-13.54,-8.06,9,7,6,3,6,14,1927,2057,67.1,92.3,0.307,0.298,0.513,47.9,49.4,10.8,10.7,0.493,21,27.9,0.188
94,Florida Atlantic,32,17,15,0.531,-1.02,-1.44,8,10,9,5,6,8,2256,2175,70.4,99,0.28,0.452,0.521,52.6,51.6,7.8,8.4,0.485,17.9,30,0.21
95,Florida Gulf Coast,32,14,18,0.438,-4.94,-1.31,9,7,10,4,4,10,2280,2360,71.1,100.2,0.329,0.405,0.552,48.3,55.5,9.5,11.6,0.528,18.8,25.6,0.22
