Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
67,Coppin State,30,16,14,0.533,-8.7,-7.66,11,5,11,3,5,10,2175,2169,69.8,101.9,0.355,0.387,0.524,51.2,55.7,8.8,10.4,0.491,17.7,34.1,0.242
68,Cornell,28,10,18,0.357,-3.6,-1.6,6,8,6,6,3,11,1906,1962,66,105.6,0.442,0.331,0.556,52.5,57.9,8.3,11.6,0.513,17.9,31.9,0.32
69,Creighton,39,23,16,0.59,4.87,1.41,10,8,19,3,3,11,2684,2549,63.5,102.7,0.263,0.313,0.513,47.1,51.1,9.7,8.7,0.488,13.1,27.6,0.178
70,Dartmouth,28,5,23,0.179,-14.86,-3.39,1,13,3,8,2,15,1667,1988,66.2,106.7,0.366,0.384,0.554,55.3,55.9,10.3,10.5,0.522,18,35.4,0.257
71,Davidson,33,18,15,0.545,-0.39,-2.17,10,8,10,3,5,10,2392,2266,68.2,100.7,0.489,0.277,0.529,46.9,45.2,8.9,10.9,0.479,16.6,28.9,0.344
72,Dayton,36,22,14,0.611,4.87,3.2,7,9,14,5,6,6,2413,2353,65.9,98.1,0.384,0.377,0.511,46.7,56.7,7.3,9.4,0.475,16.4,28.3,0.259
73,Delaware State,30,9,21,0.3,-12.18,-6.39,5,11,6,4,3,16,1874,1967,61.3,106.2,0.351,0.268,0.564,58,53.7,7.9,8.9,0.54,21,42.1,0.236
74,Delaware,31,14,17,0.452,-3.79,-0.11,8,10,6,6,7,9,1951,2065,62.9,105,0.416,0.278,0.512,51.6,46.8,9.1,8.4,0.465,12.7,32.4,0.296
75,Denver,30,13,17,0.433,-4.04,-3.48,9,7,11,4,2,10,1800,1817,58.6,101.7,0.623,0.23,0.555,55.3,40,9,11.7,0.504,20.4,31.6,0.43
76,DePaul,31,7,24,0.226,-1.31,7.53,1,17,6,11,1,9,2104,2378,68.9,109.9,0.394,0.231,0.575,55.5,57,9.2,10.1,0.541,18.7,38.9,0.282
77,Detroit Mercy,33,17,16,0.515,1.88,0.91,10,8,11,4,6,11,2459,2397,70.5,101.4,0.324,0.361,0.517,47.6,51.8,10.8,9.1,0.487,16.9,33.5,0.221
78,Drake,31,13,18,0.419,-2.56,0.76,7,11,10,5,2,10,1997,2100,65.4,103.1,0.362,0.316,0.538,54.2,52.3,9.9,7.1,0.501,17.3,31.5,0.26
79,Drexel,31,21,10,0.677,4.02,-0.01,11,7,12,2,7,7,1975,1850,63.4,93.8,0.376,0.269,0.481,43.4,45.2,8.4,12,0.438,13.9,23.6,0.258
80,Duke,37,32,5,0.865,24.51,8.32,13,3,17,0,6,4,2993,2394,70.2,92.2,0.296,0.245,0.474,48.1,48.9,8.4,7.4,0.445,17.8,33.2,0.193
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Duquesne,32,19,13,0.594,10.33,1.49,10,6,10,2,8,7,2494,2177,71.3,94.3,0.385,0.326,0.517,52,53.9,8,10.1,0.481,23.4,37.7,0.261
82,East Carolina,34,18,16,0.529,1.67,2.99,8,8,11,5,4,7,2319,2288,65.8,101.5,0.388,0.338,0.519,51.5,55.1,9.5,12.1,0.485,17.4,34.9,0.258
83,East Tennessee State,36,24,12,0.667,2.08,-2.12,16,4,13,2,9,7,2515,2320,66,97,0.346,0.386,0.502,48.6,53.4,8.4,9.1,0.47,17.8,32.7,0.229
84,Eastern Illinois,29,9,20,0.31,-11.41,-4.89,4,14,5,9,4,11,1749,1875,63.7,101.1,0.388,0.372,0.523,48.8,61.6,10.1,7.2,0.485,16.9,30.2,0.268
85,Eastern Kentucky,31,15,16,0.484,-7.34,-6.48,9,9,8,5,6,9,2046,1957,62.4,100.4,0.407,0.312,0.539,52.9,57.1,8.5,10.5,0.504,19.3,32.3,0.278
86,Eastern Michigan,31,9,22,0.29,-9.11,-3.11,5,11,7,6,1,13,1906,2030,67.3,96.9,0.422,0.285,0.517,50.8,55.5,10.4,8.5,0.475,17.8,28.4,0.292
87,Eastern Washington,30,10,20,0.333,-8.5,-2.22,7,9,8,6,2,14,2023,2119,66.6,105.3,0.462,0.304,0.541,50.7,57.2,10.5,11.4,0.491,16.6,34,0.337
88,Elon,31,14,17,0.452,-6.54,-3.32,7,11,8,5,5,9,2301,2301,70.3,105.6,0.367,0.302,0.547,52,47,8.4,9.4,0.519,16.9,32.1,0.246
89,Evansville,32,16,16,0.5,-0.3,1.8,9,9,13,3,3,12,2122,2147,66.1,101.2,0.431,0.356,0.552,52.1,57.4,8.9,10.5,0.515,19.6,29.5,0.301
90,Fairfield,33,25,8,0.758,2.94,-3.91,15,3,13,3,10,4,2150,1924,65.8,88.3,0.315,0.289,0.477,48.2,45.2,10.8,11.4,0.446,20.6,31.7,0.203
91,Fairleigh Dickinson,29,5,24,0.172,-13.34,-5,3,15,3,11,2,13,1866,2108,67.3,106.3,0.379,0.311,0.528,49.8,57.6,10,11.6,0.493,13.9,32.3,0.262
92,Florida A&M,32,12,20,0.375,-16.82,-8.71,7,9,11,3,1,16,2055,2196,68.7,98.3,0.384,0.293,0.501,49.8,50.1,11.4,7.8,0.464,17.7,35,0.255
93,Florida Atlantic,32,21,11,0.656,-2.41,-2.61,13,3,10,3,9,7,2191,2137,64.7,102.4,0.39,0.285,0.522,50.9,44.7,8.2,8.4,0.481,16.6,34.4,0.276
94,Florida Gulf Coast,30,10,20,0.333,-10.27,-3.11,7,13,6,8,4,12,1970,2185,69.2,103.9,0.353,0.399,0.548,49.3,56.7,11.9,8.5,0.522,18.5,32.7,0.237
95,Florida International,30,11,19,0.367,-9.33,-4.23,5,11,8,7,2,11,2150,2262,69.4,106.9,0.419,0.377,0.551,52.3,54.2,9.7,11.1,0.513,18.2,37,0.296
96,Florida State,34,23,11,0.676,13.48,6.45,11,5,12,3,8,5,2348,2109,69.3,89.2,0.363,0.397,0.469,46.7,55,10.6,8.6,0.424,18.7,30.7,0.252
97,Florida,37,29,8,0.784,16.27,7.57,13,3,14,3,8,2,2667,2345,63.9,96.9,0.278,0.332,0.499,46,48.3,9.4,8.2,0.472,16.4,30,0.187
98,Fordham,28,7,21,0.25,-8.77,1.01,1,15,6,6,1,10,1795,2069,67.9,108.8,0.356,0.356,0.527,50,59.4,10.5,8.8,0.495,13,33.7,0.243
99,Fresno State,31,14,17,0.452,-0.25,0.58,6,10,11,5,3,11,2096,2089,67.6,99.3,0.389,0.326,0.525,49.2,54.7,9.6,8.2,0.491,17.8,30.8,0.263
100,Furman,33,22,11,0.667,-0.36,-3.65,12,6,11,2,9,8,2271,2124,63.6,100.4,0.407,0.318,0.515,47.8,48.8,9.2,7.2,0.476,16.6,31.5,0.279
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Gardner-Webb,32,11,21,0.344,-9.22,-2.72,6,12,6,5,3,16,1985,2129,65.9,100.5,0.39,0.333,0.543,49.5,55.8,10.7,10.3,0.504,19,28.9,0.28
102,George Mason,34,27,7,0.794,11.66,1.37,16,2,14,0,10,3,2474,2124,64.3,96.1,0.32,0.334,0.499,48.5,51.6,8.3,8.5,0.466,17.6,31.3,0.217
103,George Washington,31,17,14,0.548,-0.1,0.36,10,6,9,7,7,5,2011,2025,64.7,100.6,0.363,0.378,0.535,48.9,59.6,8.4,9.4,0.498,19.4,32.6,0.258
104,Georgetown,32,21,11,0.656,14.61,10.39,10,8,10,4,7,5,2258,2123,64.8,102,0.379,0.296,0.51,48,53.3,10.9,11.4,0.468,14.9,32.3,0.268
105,Georgia Southern,32,5,27,0.156,-15.88,-3.13,1,17,5,10,0,14,2090,2423,69.5,108.1,0.48,0.346,0.583,52.2,57.2,11.6,7.4,0.549,19.7,34.2,0.333
106,Georgia State,31,12,19,0.387,-4.15,-1.92,6,12,8,6,2,12,1919,1988,63.6,98.9,0.506,0.348,0.518,48.1,55.8,10.3,8.9,0.463,17.8,31.5,0.359
107,Georgia Tech,31,13,18,0.419,6.42,5.68,5,11,10,6,1,10,2102,2079,69.2,96.2,0.452,0.325,0.538,49.3,56.2,9.3,6.8,0.502,21,29.1,0.302
108,Georgia,33,21,12,0.636,10.43,6.13,9,7,12,4,7,4,2267,2125,64.6,97.5,0.347,0.319,0.489,46.6,39.9,10.1,8.1,0.448,15.4,31.7,0.243
109,Gonzaga,35,25,10,0.714,13.86,4.01,11,3,14,2,6,4,2684,2307,68.4,95.6,0.352,0.356,0.508,45.3,47.5,9.5,7.1,0.469,18.1,28.2,0.248
110,Grambling,33,12,21,0.364,-18.45,-10.45,8,10,4,6,5,13,1998,2262,69.1,97.7,0.474,0.257,0.512,51.5,50.1,10,9.4,0.478,18,30.9,0.299
111,Green Bay,32,14,18,0.438,-0.21,2.18,8,10,10,4,4,12,2154,2189,65.6,103.4,0.452,0.316,0.552,48.7,55.5,9,8.6,0.508,19.1,32.1,0.326
112,Hampton,33,24,9,0.727,-5.2,-8.77,11,5,8,3,8,5,2197,2070,67.3,91.8,0.358,0.303,0.472,53,46.7,7.5,8.9,0.432,19,35.9,0.241
113,Hartford,31,11,20,0.355,-10.04,-5.55,7,9,7,5,3,13,1857,1996,63.5,99.3,0.388,0.415,0.551,54.7,57.9,7.8,10.9,0.513,21.8,33,0.28
114,Harvard,30,23,7,0.767,4.88,-1.19,12,3,14,0,9,6,2144,1933,63.9,100.1,0.257,0.313,0.521,48.2,49.3,9.7,9.1,0.49,17.4,30.8,0.189
115,Hawaii,32,19,13,0.594,0.51,-0.87,8,8,15,5,4,6,2216,2151,68.6,96.9,0.36,0.351,0.488,48.6,54,10.1,8,0.446,15.9,32.1,0.25
116,High Point,31,12,19,0.387,-12.82,-4.47,7,11,9,5,3,13,2050,2250,68.5,104.7,0.485,0.299,0.551,51.8,49.4,10.9,9.9,0.507,18.6,34.5,0.341
117,Hofstra,33,21,12,0.636,-0.03,0.13,14,4,10,3,10,5,2335,2300,64.8,106.3,0.35,0.31,0.533,52.9,57.2,8.8,6.5,0.499,16.2,36,0.245
118,Holy Cross,29,8,21,0.276,-6.38,-4.55,7,7,4,9,4,12,1949,2002,66,103.7,0.337,0.321,0.519,47.8,54,8.7,9.3,0.483,13.3,29.4,0.238
119,Houston Baptist,31,5,26,0.161,-18.41,-8.72,2,10,4,8,0,15,2140,2429,73.3,106,0.474,0.345,0.552,53.8,58.3,10.3,11.3,0.524,18.9,37.8,0.306
120,Houston,30,12,18,0.4,-2.71,0.55,4,12,10,6,2,11,2061,2092,66.4,102.9,0.388,0.316,0.512,51.4,53.9,10.1,9.5,0.472,15.9,36.3,0.268
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Howard,30,6,24,0.2,-18.8,-7.3,4,12,6,9,0,13,1753,2098,66,105.9,0.449,0.373,0.547,50.9,62.4,11.2,12,0.518,17.8,34.9,0.291
122,Idaho State,29,9,20,0.31,-10.76,-1.87,4,12,7,5,1,14,1878,2096,64.9,110,0.409,0.363,0.561,51,57.6,8.6,8.5,0.526,16.3,34.5,0.289
123,Idaho,32,18,14,0.563,0.2,-0.64,9,7,10,5,8,8,2172,2134,65.4,100.7,0.313,0.351,0.511,49.7,51.1,11.2,9,0.476,16.5,33.3,0.222
124,Illinois-Chicago,31,7,24,0.226,-6.32,1.98,2,16,4,10,1,14,1943,2152,65.6,104.6,0.356,0.306,0.535,47.3,53,10.4,8,0.505,15.9,31,0.241
125,Illinois State,31,12,19,0.387,-3.37,-0.66,4,14,10,8,2,10,1893,1977,62.4,101.1,0.346,0.349,0.523,48.6,53.7,10.4,6.2,0.49,16,28.1,0.239
126,Illinois,34,20,14,0.588,16.72,11.11,9,9,14,2,3,7,2413,2222,66.2,98.4,0.327,0.348,0.498,48.8,53.2,8.5,7.3,0.457,15.6,31.5,0.237
