Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,16,16,0.5,2.71,3.31,6,10,12,5,3,11,2074,2082,62.5,102.9,0.326,0.454,0.519,54.7,63.7,8.6,10.3,0.482,16.9,34.3,0.234
2,Akron,36,23,13,0.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,67,96.4,0.383,0.302,0.499,52.1,51.1,8.8,6.6,0.464,17.8,32.7,0.253
3,Alabama A&M,28,13,15,0.464,-15.19,-11.75,10,8,9,4,4,10,1808,1870,71.6,92.9,0.415,0.277,0.49,51.2,55.2,11,10.1,0.457,19.6,33.6,0.259
4,Alabama-Birmingham,31,22,9,0.71,8.55,2.78,12,4,13,2,8,5,2119,1940,63.1,96.8,0.324,0.297,0.497,48.3,48.5,9.3,9.9,0.459,16.5,30.6,0.228
5,Alabama State,35,17,18,0.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,66.5,95.3,0.515,0.296,0.506,49.3,55.9,11.2,6.8,0.454,19.8,33.4,0.352
6,Alabama,37,25,12,0.676,11.7,4.27,12,4,19,0,4,6,2473,2198,65.3,90.3,0.363,0.32,0.477,48,50.1,9.1,9.1,0.437,20.1,33.8,0.245
7,Albany (NY),32,16,16,0.5,-7.05,-5.96,9,7,7,6,7,8,2013,2048,61,102.9,0.278,0.404,0.5,48.3,59.3,10.3,9.8,0.478,14,33,0.177
8,Alcorn State,28,4,24,0.143,-23.02,-8.02,4,14,2,7,2,17,1838,2258,77.6,103.4,0.421,0.309,0.524,56.5,60.4,10.8,10.2,0.492,16.5,37.8,0.275
9,American,31,22,9,0.71,-3.13,-5.64,11,3,10,3,10,5,2051,1973,61.9,101.2,0.374,0.3,0.519,47.6,51.8,8.7,6.2,0.475,14.4,26.2,0.273
10,Appalachian State,31,16,15,0.516,-4.81,-2.95,10,8,9,3,6,8,2265,2269,68.9,105.8,0.31,0.318,0.543,50.1,52.4,9.1,6.7,0.516,15.5,30.7,0.214
11,Arizona State,31,12,19,0.387,4.3,7.2,4,14,8,7,2,10,1983,2073,64.4,103.4,0.393,0.359,0.529,52.7,63,10.1,10.7,0.491,16.9,33,0.274
12,Arizona,38,30,8,0.789,16.54,7.99,14,4,17,0,7,4,2905,2580,66.9,100.2,0.366,0.283,0.52,46.9,52.8,8.7,9.8,0.486,16.1,29.2,0.248
13,Little Rock,36,19,17,0.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,65.4,102,0.439,0.352,0.538,51.1,55.7,6.7,9.8,0.494,18.1,31.3,0.312
14,Arkansas-Pine Bluff,31,7,24,0.226,-20,-8.03,7,11,5,4,2,19,1850,2221,68.4,103.5,0.554,0.334,0.558,53.3,64,11.4,12,0.524,19.4,31.5,0.362
15,Arkansas State,32,17,15,0.531,-3.38,-3.31,11,5,13,0,4,10,2188,2066,65.6,98,0.395,0.314,0.513,46.6,49.1,9.2,9.6,0.474,17.3,29.2,0.271
16,Arkansas,31,18,13,0.581,6.28,2.34,7,9,15,3,2,7,2191,2069,67.7,97,0.315,0.28,0.496,52,49.5,8.6,12.4,0.456,17.6,35.6,0.229
17,Army,30,11,19,0.367,-10.71,-6.58,3,11,4,8,7,10,2038,2141,68.2,104.6,0.415,0.361,0.548,51.2,58.8,8.6,11.6,0.512,17.7,31.5,0.289
18,Auburn,31,11,20,0.355,-2.47,2.4,4,12,9,11,2,7,1933,2051,65.7,99.5,0.451,0.413,0.534,50.6,61.4,10.5,11.9,0.495,19.9,33.5,0.305
19,Austin Peay,34,20,14,0.588,-0.15,-3.77,13,5,10,3,8,9,2510,2279,68.6,95.7,0.359,0.342,0.512,49.2,55.8,9.9,8.5,0.479,20.3,34,0.24
20,Ball State,32,19,13,0.594,-0.7,-3.4,10,6,11,3,6,9,2164,2049,64.7,97.9,0.326,0.335,0.508,49.7,54.6,8.9,9.5,0.479,18,32.9,0.216
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
21,Baylor,31,18,13,0.581,10,4.8,7,9,15,3,2,6,2154,1984,66.5,95.8,0.349,0.34,0.513,46.7,53.8,12.1,6.7,0.477,19.2,31.1,0.24
22,Belmont,35,30,5,0.857,13.07,-4.42,19,1,12,0,12,4,2790,2178,69.2,89.3,0.462,0.309,0.506,47.5,53.5,9.8,13,0.461,23.6,32.1,0.313
23,Bethune-Cookman,34,21,13,0.618,-11.11,-8.04,13,3,11,3,9,7,2241,2240,63.5,101.5,0.439,0.305,0.543,50.3,47.5,8.3,8.8,0.513,19.3,32.3,0.286
24,Binghamton,31,8,23,0.258,-13.81,-5.35,4,12,3,10,4,12,1861,2123,61.6,110.3,0.293,0.339,0.541,53.8,52.1,8.9,10.5,0.515,14.9,37.3,0.204
25,Boise State,35,22,13,0.629,5.48,0.01,10,6,12,4,9,7,2594,2382,68.2,97.7,0.437,0.331,0.56,49.6,50.7,7.5,9.4,0.521,22.2,27.8,0.311
26,Boston College,34,21,13,0.618,9.78,7.31,9,7,12,5,5,6,2440,2356,64.1,108,0.259,0.352,0.534,50.6,51.7,7.8,10.6,0.507,13.8,33.2,0.183
27,Boston University,35,21,14,0.6,-2.48,-3.85,12,4,12,2,4,10,2270,2222,62.7,100.9,0.301,0.375,0.495,49.8,53.9,7.9,10.9,0.46,15,34.3,0.212
28,Bowling Green State,33,14,19,0.424,-5.94,-2.03,8,8,10,5,4,11,2116,2215,66.1,100.4,0.38,0.372,0.538,51.9,66.1,10.2,7.5,0.508,19.8,33.1,0.254
29,Bradley,32,12,20,0.375,-1.52,1.67,4,14,8,8,2,10,2076,2164,65.9,102.2,0.373,0.379,0.536,51.7,64.8,8.4,7.4,0.496,17,29.9,0.269
30,Brigham Young,37,32,5,0.865,18.65,5.76,14,2,13,1,10,1,3012,2512,71.1,94.6,0.327,0.306,0.5,48.1,51.4,8.1,8.8,0.465,17.5,28.2,0.225
31,Brown,28,11,17,0.393,-7.27,-4.12,4,10,8,5,3,12,2002,2054,69.5,105.2,0.304,0.321,0.531,51.5,50.7,9.3,10.2,0.502,13.7,28.1,0.211
32,Bryant,30,9,21,0.3,-12.98,-3.12,7,11,5,8,3,12,2001,2258,66.8,111.3,0.357,0.374,0.564,53,62.1,9.9,9.4,0.533,15.7,34.3,0.252
33,Bucknell,34,25,9,0.735,2.39,-3.87,13,1,14,1,10,6,2387,2174,66.1,96.5,0.35,0.366,0.494,50.3,56.5,8.3,7,0.454,15.4,29,0.244
34,Buffalo,34,20,14,0.588,2.93,-2.22,8,8,13,3,7,10,2399,2197,67,95.8,0.371,0.305,0.506,47.5,58.3,10.8,6,0.472,19.3,33.2,0.248
35,Butler,38,28,10,0.737,11.53,5.02,13,5,12,2,7,6,2707,2437,64.5,98.1,0.387,0.355,0.516,47.7,48.4,8.1,8.6,0.481,16.7,27.9,0.26
36,Cal Poly,30,15,15,0.5,-1.84,-2.39,10,6,7,5,8,9,1779,1766,61.4,95.4,0.419,0.343,0.498,50,54.1,9.5,13.6,0.449,18.6,31.6,0.296
37,Cal State Bakersfield,28,9,19,0.321,-11.44,-2.16,,,7,8,2,11,1907,2167,69.6,110.1,0.396,0.279,0.568,53.5,53.6,9,6.7,0.53,17,35.9,0.29
38,Cal State Fullerton,31,11,20,0.355,-7.68,-2.81,7,9,7,5,4,12,2208,2326,68.4,109.3,0.435,0.398,0.564,50.3,57.9,8,9.5,0.523,16.5,32.2,0.316
39,Cal State Northridge,32,14,18,0.438,-5.35,-1.55,9,7,7,5,5,10,2232,2280,70,101.7,0.557,0.368,0.542,49.6,59.3,10.2,7.4,0.492,18.6,32.2,0.386
40,UC-Davis,30,10,20,0.333,-5.69,-1.9,4,12,7,7,3,11,2136,2194,68,105.1,0.402,0.295,0.538,54.1,51.5,10.3,6.2,0.511,16.9,34.1,0.261
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
41,UC-Irvine,32,13,19,0.406,-3.78,-2.36,6,10,9,6,4,12,2411,2419,72,102.5,0.403,0.379,0.537,52.2,53.4,6.3,7.4,0.495,17.1,30.4,0.289
42,UC-Riverside,31,12,19,0.387,-8.26,-1.4,6,10,7,5,4,11,2044,2164,66.6,103.5,0.393,0.409,0.543,49.7,57.2,8.1,6.3,0.504,17.5,31.6,0.279
43,UC-Santa Barbara,32,18,14,0.563,1.22,0.12,8,8,9,4,5,8,2170,2105,65.2,99.8,0.405,0.365,0.516,50.4,59.3,9.2,6.5,0.473,17.4,31.9,0.284
44,University of California,33,18,15,0.545,9.45,9.17,10,8,12,6,5,6,2391,2382,68.5,103.5,0.338,0.377,0.535,48.4,51.3,8.1,7.2,0.504,15.8,29.1,0.233
45,Campbell,31,12,19,0.387,-6.67,-4.27,6,14,7,7,4,10,2032,2091,65.6,102.3,0.499,0.354,0.539,50.1,63.3,9.6,10.6,0.493,19,34.6,0.348
46,Canisius,30,15,15,0.5,-2.92,-3.55,9,9,10,4,5,10,2043,2024,67.3,100.3,0.394,0.315,0.507,50.7,57.1,9.6,8.7,0.466,17,35.6,0.272
47,Centenary (LA),30,1,29,0.033,-25.21,-2.85,1,17,1,10,0,19,1775,2422,70.8,114,0.478,0.341,0.581,56.6,57,13.6,12.1,0.552,17.4,38.7,0.323
48,Central Arkansas,29,5,24,0.172,-19.16,-5.39,1,15,4,9,0,14,1984,2216,72.3,105.2,0.384,0.307,0.568,52.7,58,9.7,12,0.537,19.9,34.4,0.27
49,Central Connecticut State,31,19,12,0.613,-1.94,-5.97,11,7,12,2,6,10,2170,2045,67.6,96.4,0.334,0.324,0.504,48.9,49,9.1,7.4,0.471,19.6,35.1,0.227
50,Central Florida,33,21,12,0.636,6.25,1.97,6,10,15,4,4,7,2271,2080,65.3,96.5,0.323,0.294,0.492,48.3,53.9,10.5,9.5,0.462,16.8,32.8,0.212
51,Central Michigan,31,10,21,0.323,-8.01,-2.41,7,9,6,7,3,13,1841,2006,64.8,98.7,0.526,0.257,0.542,50.9,49.9,8.9,10,0.503,19.9,30.1,0.35
52,Charleston Southern,32,16,16,0.5,-4.86,-4.57,9,9,12,2,3,12,2362,2197,69,99.2,0.366,0.314,0.531,47.3,49.7,10.5,8.3,0.5,19.2,31.6,0.246
53,Charlotte,30,10,20,0.333,-2.54,1.89,2,14,6,7,2,11,1997,2130,65.5,104,0.317,0.36,0.523,49.6,55.1,10.7,10.5,0.49,14.7,31.1,0.225
54,Chattanooga,32,16,16,0.5,-9.44,-2.67,12,6,10,6,6,10,2274,2380,70.8,103.8,0.326,0.462,0.546,47.9,62.7,10.7,8.6,0.519,16.1,25.9,0.223
55,Chicago State,32,6,26,0.188,-27.71,-4.88,3,9,4,6,1,17,2128,2772,74.7,114.6,0.479,0.377,0.579,53.9,63.9,10.3,8.7,0.544,15.6,35,0.324
56,Cincinnati,35,26,9,0.743,15.41,6.1,11,7,15,3,7,4,2412,2086,63.6,93.3,0.354,0.296,0.499,46.8,55.1,9.2,7.8,0.458,19.1,31,0.249
57,Citadel,32,10,22,0.313,-9.84,-2.84,6,12,6,8,3,12,2049,2237,64.4,108.2,0.314,0.357,0.549,48,53.1,9.4,8.5,0.524,14.3,28.3,0.214
58,Clemson,34,22,12,0.647,13.76,6.58,9,7,15,2,3,7,2330,2086,65.1,93.6,0.348,0.324,0.497,48.8,52.8,10.1,8.8,0.456,19.7,32.5,0.247
59,Cleveland State,36,27,9,0.75,7.59,1.74,13,5,17,3,9,5,2556,2291,66.5,95.7,0.409,0.309,0.505,50.9,58,8.1,11.3,0.464,18.9,33.1,0.278
60,Coastal Carolina,34,28,6,0.824,2.35,-5.15,16,2,15,3,10,2,2597,2178,68,93.2,0.257,0.351,0.483,45.1,45.5,8.8,8,0.456,16.9,29.3,0.171
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Colgate,30,7,23,0.233,-15.8,-5.03,4,10,3,9,4,14,1947,2270,68,109.9,0.448,0.336,0.561,50,56.4,11.2,9.4,0.514,14.7,30.8,0.332
62,College of Charleston,37,26,11,0.703,6.17,-1.05,14,4,13,1,10,8,2821,2554,67.6,102,0.271,0.283,0.51,50.6,48.8,9.1,5.4,0.485,16.1,35.4,0.182
63,Colorado State,32,19,13,0.594,7.49,5.26,9,7,9,5,6,5,2279,2166,67.5,100,0.379,0.345,0.525,48.9,51.2,9.3,9.5,0.487,17.7,30.6,0.266
64,Colorado,38,24,14,0.632,11.45,5.61,8,8,18,2,3,9,3025,2787,69.1,105.1,0.355,0.315,0.539,48,54.1,8.9,7.7,0.505,16.5,32.4,0.25
65,Columbia,28,15,13,0.536,-5.22,-4.81,6,8,10,4,5,9,1982,1988,68.1,103.3,0.387,0.264,0.545,47.5,51.8,8.9,7.8,0.505,16.4,26.9,0.281
66,Connecticut,41,32,9,0.78,17.95,10.44,9,9,13,4,5,5,2967,2659,65.1,97.8,0.268,0.322,0.476,47.1,51.5,9.2,8.3,0.445,14.5,34.1,0.182
