Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,11,20,0.355,-19.6,-4.12,2,12,9,5,0,14,2214,2228,67.7,104.9,0.455,0.32,0.558,49.8,53.6,9.7,12,0.518,17.8,30.2,0.323
2,Air Force,30,12,18,0.4,-4.08,1.71,6,12,8,9,3,8,1980,2074,65.4,104.8,0.431,0.406,0.54,51.2,58.6,10.5,14.1,0.499,15.6,29.4,0.302
3,Akron,34,21,13,0.618,1.16,-0.48,12,6,13,2,6,8,2332,2276,65.5,101.1,0.361,0.277,0.52,49,46.7,9.9,9.1,0.479,16.7,32.5,0.259
4,Alabama A&M,30,14,16,0.467,-13.86,-10.58,10,8,7,4,5,11,1936,2010,66.5,99.6,0.524,0.285,0.508,52.9,45.3,9.8,8.9,0.452,17.3,34.3,0.365
5,Alabama-Birmingham,31,18,13,0.581,0.78,-0.77,7,9,12,5,5,5,2266,2180,69.4,100,0.302,0.331,0.495,45,50.1,9.9,9.1,0.465,13.5,29.8,0.201
6,Alabama State,32,19,13,0.594,-12.84,-11.4,12,6,13,1,5,10,2265,2225,68.1,100.5,0.389,0.297,0.528,50.5,48.5,8.8,7.9,0.49,18.4,33.3,0.27
7,Alabama,32,13,19,0.406,8.34,8.88,7,11,13,4,0,11,2170,2150,64.4,103.1,0.402,0.331,0.52,51.5,52.4,8.6,11.5,0.47,16.5,34.5,0.299
8,Albany (NY),34,19,15,0.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,63,100.3,0.291,0.366,0.517,47.5,54.1,9.1,8,0.483,15.9,28.3,0.21
9,Alcorn State,31,12,19,0.387,-15.95,-9.27,9,9,9,3,2,13,1985,2101,64.8,102.5,0.396,0.311,0.525,52.7,52.3,8.2,6.5,0.483,16.3,34,0.281
10,American,33,20,13,0.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,60.7,97,0.407,0.312,0.504,49.4,50.1,11.6,8.1,0.464,17,29.7,0.276
11,Appalachian State,30,9,21,0.3,-15.32,-7.13,5,11,7,7,2,13,2034,2152,67.4,105.6,0.408,0.296,0.548,49.4,50.9,8.3,10.6,0.519,16.4,30.2,0.272
12,Arizona State,33,21,12,0.636,13.32,7.41,10,8,16,1,4,7,2486,2291,69,98.8,0.373,0.273,0.496,51.6,47.1,7.9,11.6,0.463,14.6,30.2,0.242
13,Arizona,38,33,5,0.868,23.36,9.04,15,3,18,0,8,3,2769,2225,64.1,90.2,0.342,0.265,0.469,44.9,44.7,7.2,7.6,0.423,16.6,27.3,0.245
14,Little Rock,32,15,17,0.469,-5.39,-1.09,9,9,7,6,6,9,2288,2371,68.4,105.1,0.49,0.404,0.542,49.2,57.3,9.5,8.9,0.498,16.1,30.1,0.339
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.39,-6.9,11,7,6,3,6,12,1957,2188,67.9,103.8,0.498,0.363,0.568,53.4,62.3,11.1,12.6,0.531,21.1,33.7,0.341
16,Arkansas State,32,19,13,0.594,-0.44,-3.18,10,8,11,4,7,8,2432,2299,68.6,102,0.353,0.326,0.522,51.5,44.4,8.7,8.6,0.483,16.1,31.1,0.253
17,Arkansas,34,22,12,0.647,14.34,5.57,10,8,17,2,3,7,2723,2425,72.5,97.2,0.43,0.31,0.508,52.3,48.3,7.4,7.5,0.462,19.5,36.6,0.3
18,Army,31,15,16,0.484,-6.16,-4.66,10,8,7,7,7,8,2244,2269,68.1,106.5,0.354,0.308,0.553,51.1,51.2,10.7,9.3,0.519,17.1,33.2,0.255
19,Auburn,30,14,16,0.467,5.11,5.47,6,12,12,6,2,8,2144,2155,67.6,106.1,0.487,0.35,0.542,50.7,60,8.6,9.8,0.498,16.1,33.1,0.338
20,Austin Peay,30,12,18,0.4,-10.5,-5.78,6,10,8,6,3,11,2287,2368,71.9,108.5,0.342,0.358,0.56,51.3,56.7,10.8,8.4,0.526,16.9,34.2,0.252
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
21,Ball State,30,5,25,0.167,-10.17,0.65,2,16,5,9,0,16,1967,2214,67,107.9,0.442,0.285,0.548,47.3,53.6,12.6,11.3,0.507,14.4,29.4,0.31
22,Baylor,38,26,12,0.684,15.8,10.11,9,9,13,4,5,5,2843,2577,64.2,104.3,0.316,0.335,0.514,45.2,61.1,8.2,7.8,0.485,13.6,31.7,0.213
