Unnamed: 0_level_0,Unnamed: 1_level_0,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,Unnamed: 16_level_0,Unnamed: 17_level_0,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Unnamed: 16_level_1,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
237,Pittsburgh NCAA,33,24,9,.727,18.82,5.63,12,6,16,3,6,3,2282,1847,,1335,627,1598,.392,172,565,.304,421,582,.723,316,942,335,181,123,444,587
238,Portland State,28,8,20,.286,-10.84,-5.54,5,15,8,6,0,14,1929,2037,,1125,751,1551,.484,174,466,.373,361,508,.711,287,910,424,183,88,328,452
239,Portland,32,11,21,.344,-5.79,3.28,4,12,8,8,2,11,1951,2189,,1285,769,1758,.437,218,598,.365,433,617,.702,322,1039,424,272,97,377,555
240,Prairie View,34,15,19,.441,-15.61,-10.10,8,10,9,4,3,13,2182,2223,,1366,750,1876,.400,203,677,.300,520,799,.651,403,1239,399,255,106,519,620
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
241,Presbyterian,32,8,24,.250,-17.47,-4.71,4,12,7,6,1,15,1987,2248,,1290,800,1756,.456,227,603,.376,421,584,.721,344,1066,399,216,94,338,440
242,Princeton,28,17,11,.607,3.16,-1.65,10,4,9,4,8,6,1803,1635,,1125,578,1363,.424,119,366,.325,360,496,.726,240,803,264,182,81,349,452
243,Providence,34,19,15,.559,9.28,6.55,9,9,14,4,4,8,2299,2206,,1375,798,1911,.418,168,567,.296,442,631,.700,390,1177,437,217,132,447,664
244,Purdue,34,16,18,.471,9.04,7.87,8,10,12,7,4,7,2252,2212,,1370,782,1929,.405,191,583,.328,457,642,.712,370,1148,432,240,150,384,593
245,Quinnipiac,31,15,16,.484,-4.75,-4.91,11,7,8,6,6,8,2225,2220,,1265,751,1732,.434,207,548,.378,511,731,.699,283,986,389,197,82,336,654
246,Radford,32,13,19,.406,-10.87,-7.32,7,9,8,5,4,12,2136,2179,,1300,767,1748,.439,173,477,.363,472,687,.687,343,1188,390,227,125,496,575
247,Rhode Island,29,8,21,.276,-0.60,4.95,3,13,5,10,3,9,1786,1947,,1180,672,1559,.431,176,515,.342,427,623,.685,350,1087,348,171,110,366,526
248,Rice,31,5,26,.161,-11.12,0.01,1,15,5,11,0,11,1875,2199,,1245,764,1558,.490,190,515,.369,481,706,.681,329,1169,425,189,110,414,491
249,Richmond,34,19,15,.559,6.90,3.43,8,8,15,2,4,11,2380,2262,,1385,777,1745,.445,159,469,.339,549,751,.731,383,1175,394,200,97,507,684
250,Rider,34,19,15,.559,-1.22,-1.66,12,6,9,5,8,9,2166,2151,,1362,740,1821,.406,176,611,.288,493,698,.706,381,1144,387,242,95,470,634
251,Robert Morris,35,24,11,.686,0.24,-4.90,14,4,13,3,10,7,2480,2300,,1405,778,1732,.449,198,596,.332,546,796,.686,354,1171,416,208,87,572,635
252,Rutgers,31,15,16,.484,5.97,6.77,5,13,9,7,4,8,2027,2052,,1240,699,1658,.422,191,594,.322,463,660,.702,364,1023,415,198,97,393,531
253,Sacramento State,29,14,15,.483,-9.40,-6.77,8,12,10,4,4,11,1876,1904,,1160,690,1598,.432,210,599,.351,314,446,.704,315,1008,425,157,111,349,508
254,Sacred Heart,29,9,20,.310,-9.76,-3.69,7,11,5,7,3,13,2036,2212,,1170,772,1707,.452,204,550,.371,464,652,.712,369,1040,431,232,103,364,489
255,Saint Francis (PA),29,5,24,.172,-15.16,-4.37,5,13,3,10,2,14,1804,2117,,1180,726,1553,.467,194,517,.375,471,620,.760,317,1017,402,204,94,364,456
256,Saint Joseph's,32,18,14,.563,7.31,4.03,8,8,11,4,5,8,2150,2045,,1290,770,1880,.410,193,614,.314,312,449,.695,390,1105,431,193,86,330,549
257,Saint Louis NCAA,35,28,7,.800,14.33,4.28,13,3,17,2,6,3,2388,2036,,1410,735,1787,.411,157,475,.331,409,625,.654,340,1151,397,205,124,537,716
258,Saint Mary's (CA) NCAA,35,28,7,.800,14.51,3.31,14,2,16,1,9,2,2610,2203,,1405,763,1820,.419,195,523,.373,482,669,.720,286,1000,374,219,96,409,627
259,Saint Peter's,30,9,21,.300,-9.05,-2.92,3,15,5,8,4,11,1788,1972,,1210,671,1519,.442,180,515,.350,450,632,.712,300,1041,356,185,122,427,467
260,Sam Houston State,34,17,17,.500,-6.45,-5.16,8,10,9,6,6,10,2168,2080,,1380,687,1672,.411,157,518,.303,549,786,.698,302,1159,442,193,140,510,638
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
